Product ID,Product Name,Product Category,Product Status,R&D Initiation Date,R&D Stage,Launch Status,Launch Date,PM Name,Product Cost ($)
PROD-11082,NetConnect,Cloud Platform,GA (General Availability),2025-03-22,Prototype,Planned,2023-06-04,Natalie Holmes,424551
PROD-11083,CloudEdge,Networking,GA (General Availability),2025-05-06,Enhancement,Launched,2024-04-16,Brittney Sparks,553352
PROD-11084,CloudEdge,Analytics,GA (General Availability),2023-11-10,Testing,Not Launched,2023-08-12,Jose Kelly,176995
PROD-11085,CoreAnalytics,Analytics,GA (General Availability),2020-10-19,Pre-Launch,Launched,2024-08-25,Julie Madden,160830
PROD-11086,DataSphere,Analytics,In Development,2021-06-12,Enhancement,Not Launched,2023-12-07,Joyce Rodriguez,367720
PROD-11087,CoreAnalytics,Cloud Platform,Pilot,2024-09-12,Prototype,Not Launched,2024-09-22,John Obrien,414545
PROD-11088,CoreAnalytics,Networking,In Development,2024-03-31,Enhancement,In Pipeline,2024-11-22,Kevin Walker PhD,195237
PROD-11089,DataSphere,Security,Retired,2021-08-22,Enhancement,Not Launched,2024-06-19,Jacqueline Clarke,269739
PROD-11090,CoreAnalytics,Cloud Platform,In Development,2025-01-16,Pre-Launch,Planned,2024-02-04,Vicki Benitez,264262
PROD-11091,DataSphere,Cloud Platform,Active,2023-08-04,Concept,In Pipeline,2024-06-18,Kayla Burch,172295
PROD-11092,NetConnect,Cloud Platform,Retired,2023-02-01,Testing,Cancelled,2025-02-08,Joseph Garcia,250060
PROD-11093,DataSphere,Networking,In Development,2020-09-03,Prototype,Cancelled,2022-09-28,Christopher Willis,388212
PROD-11094,CloudEdge,Analytics,In Development,2020-12-03,Enhancement,Cancelled,2025-05-26,Andrew Stewart,241462
PROD-11095,CloudEdge,Cloud Platform,In Development,2025-08-21,Prototype,Cancelled,2025-02-27,Mary Dennis,519376
PROD-11096,DataSphere,Cloud Platform,In Development,2021-11-30,Enhancement,Cancelled,2023-09-28,Justin Payne,178266
PROD-11097,DataSphere,Analytics,Active,2023-11-14,Prototype,Planned,2022-10-31,Melanie Lester,261344
PROD-11098,CloudEdge,Security,Pilot,2023-12-29,Enhancement,Not Launched,2024-04-02,Heather Levy,176645
PROD-11099,DataSphere,Cloud Platform,Active,2022-08-25,Pre-Launch,Launched,2025-06-05,Marcus Parker,431183
PROD-11100,CloudEdge,Analytics,In Development,2021-08-29,Concept,Launched,2023-11-26,Cody Robinson,487228
PROD-11101,DataSphere,IoT,In Development,2021-01-23,Pre-Launch,Cancelled,2024-05-31,Antonio James,178465
PROD-11102,NetConnect,Analytics,Active,2022-04-13,Prototype,Cancelled,2023-10-30,Anna Booker,167370
PROD-11103,NetConnect,Networking,In Development,2023-03-20,Testing,Cancelled,2023-10-24,George English,502937
PROD-11104,DataSphere,Networking,Pilot,2024-05-20,Testing,Planned,2023-11-03,Joshua Howard,328856
PROD-11105,CloudEdge,IoT,In Development,2020-10-27,Concept,Planned,2025-06-29,Kelly Parker,383384
PROD-11106,CoreAnalytics,Analytics,Retired,2023-01-16,Prototype,Cancelled,2022-11-08,Jason Allen,564514
PROD-11107,CoreAnalytics,Security,Pilot,2025-08-11,Prototype,Launched,2024-05-31,Samuel Waters,486813
PROD-11108,Insight360,Security,Active,2022-04-27,Prototype,Cancelled,2024-07-02,Maria Morgan,365859
PROD-11109,CoreAnalytics,Security,GA (General Availability),2023-03-30,Testing,Launched,2023-04-01,Darrell Kennedy,438764
PROD-11110,DataSphere,IoT,In Development,2021-01-08,Prototype,Planned,2023-05-22,Kenneth Lyons,204819
PROD-11111,Insight360,Analytics,GA (General Availability),2023-02-15,Prototype,Launched,2024-11-30,Renee Joseph,446492
PROD-11112,NetConnect,Security,Pilot,2022-11-18,Prototype,Planned,2023-01-14,Nathaniel Donovan,211994
PROD-11113,CoreAnalytics,IoT,In Development,2024-05-03,Enhancement,Not Launched,2023-11-27,Matthew Johnson,231426
PROD-11114,NetConnect,Security,GA (General Availability),2022-04-01,Enhancement,Planned,2023-06-19,Darin Grimes,489536
PROD-11115,CoreAnalytics,Analytics,Active,2025-03-31,Enhancement,In Pipeline,2025-05-05,Angela Robinson,170935
PROD-11116,CoreAnalytics,IoT,GA (General Availability),2024-10-16,Prototype,In Pipeline,2024-02-12,Brittany Jordan,172236
PROD-11117,DataSphere,IoT,Pilot,2024-07-01,Enhancement,Planned,2023-09-29,Joshua Bray,362857
PROD-11118,CloudEdge,Networking,Active,2023-07-10,Concept,Launched,2024-04-27,Shelley Mcdonald,501750
PROD-11119,DataSphere,Security,Active,2021-09-04,Testing,Not Launched,2024-05-27,Henry Nguyen,401746
PROD-11120,Insight360,Cloud Platform,Active,2023-01-07,Enhancement,Cancelled,2022-10-29,Eric Walters,545628
PROD-11121,Insight360,IoT,GA (General Availability),2023-03-26,Pre-Launch,Not Launched,2025-01-12,Patricia Clark,395114
PROD-11122,CoreAnalytics,Networking,Pilot,2020-12-07,Prototype,Cancelled,2024-09-20,Doris Long,345156
PROD-11123,CoreAnalytics,Security,Retired,2023-02-24,Enhancement,Launched,2023-04-01,Felicia Wolfe,334830
PROD-11124,DataSphere,Analytics,Active,2021-11-13,Prototype,Planned,2025-01-05,Terry Cannon,508738
PROD-11125,CloudEdge,Analytics,Pilot,2024-03-31,Pre-Launch,In Pipeline,2024-05-27,Brittany Wagner,411740
PROD-11126,NetConnect,Security,In Development,2024-04-16,Prototype,Not Launched,2023-01-18,Madison Davies DVM,249628
PROD-11127,NetConnect,Networking,Retired,2023-05-15,Testing,Launched,2023-04-17,Tara Anderson,545259
PROD-11128,DataSphere,Analytics,GA (General Availability),2024-12-21,Concept,In Pipeline,2025-05-18,Rebecca Chang,457897
PROD-11129,DataSphere,Analytics,Retired,2025-06-17,Prototype,In Pipeline,2025-02-24,Jennifer Williams,264692
PROD-11130,DataSphere,IoT,Retired,2021-03-25,Prototype,Launched,2024-06-26,Dr. Corey Brewer,470869
PROD-11131,CloudEdge,Cloud Platform,GA (General Availability),2024-12-13,Enhancement,Cancelled,2024-10-18,Heather Mullins,382721
PROD-11132,NetConnect,Networking,Retired,2021-07-24,Concept,In Pipeline,2024-09-07,Laura Bennett,571118
PROD-11133,CloudEdge,Security,Active,2021-04-08,Enhancement,Not Launched,2024-08-18,Tabitha Johnson DDS,556739
PROD-11134,CoreAnalytics,Analytics,Retired,2024-08-11,Pre-Launch,Cancelled,2024-04-16,Daniel Cox,427173
PROD-11135,DataSphere,IoT,Retired,2022-01-24,Enhancement,Launched,2025-03-29,David Gonzalez,548556
PROD-11136,CloudEdge,Cloud Platform,Retired,2024-09-05,Prototype,In Pipeline,2024-03-30,Wayne Sullivan,410633
PROD-11137,CoreAnalytics,Security,Pilot,2021-07-26,Testing,Cancelled,2023-11-04,Marc Rodriguez,569882
PROD-11138,NetConnect,Security,In Development,2022-08-16,Prototype,Launched,2023-10-17,Christopher Rivera,580267
PROD-11139,NetConnect,IoT,Pilot,2023-01-19,Prototype,Launched,2024-08-23,Lisa Thomas,576280
PROD-11140,CoreAnalytics,Networking,Retired,2022-09-28,Prototype,In Pipeline,2023-11-10,Robert Wood,197638
PROD-11141,Insight360,Analytics,GA (General Availability),2023-02-25,Enhancement,Planned,2024-03-22,Bernard Farmer,289163
PROD-11142,NetConnect,IoT,GA (General Availability),2023-06-19,Enhancement,In Pipeline,2023-11-01,Kirk Wright,264292
PROD-11143,DataSphere,Analytics,GA (General Availability),2022-06-18,Testing,Cancelled,2025-03-15,Gerald Gay,217180
PROD-11144,CloudEdge,Security,GA (General Availability),2023-02-25,Testing,Planned,2024-10-08,Kimberly Dickson,387774
PROD-11145,NetConnect,IoT,GA (General Availability),2024-12-18,Concept,In Pipeline,2025-06-20,Ann Green,162830
PROD-11146,DataSphere,Security,In Development,2024-04-07,Pre-Launch,Not Launched,2023-09-16,Jonathan Brooks,306431
PROD-11147,Insight360,Cloud Platform,Active,2025-02-07,Testing,Not Launched,2025-03-17,Peter Holland,235191
PROD-11148,NetConnect,Networking,Active,2025-07-11,Prototype,Planned,2023-06-08,Lisa Huerta,448686
PROD-11149,CloudEdge,Networking,Active,2021-05-31,Pre-Launch,In Pipeline,2025-06-18,Karen Hanson,248571
PROD-11150,DataSphere,IoT,Active,2025-07-19,Pre-Launch,Not Launched,2025-07-02,Daniel White,363699
PROD-11151,CloudEdge,Analytics,Active,2023-06-12,Enhancement,Cancelled,2024-04-20,Sandra Anderson,249720
PROD-11152,Insight360,IoT,Active,2023-11-06,Pre-Launch,In Pipeline,2024-02-18,Francisco Johnson,409950
PROD-11153,Insight360,IoT,Pilot,2023-10-01,Testing,Planned,2025-04-11,Michael Thomas,379324
PROD-11154,CoreAnalytics,Analytics,In Development,2022-10-11,Prototype,Planned,2024-07-13,Jessica Walker,211113
PROD-11155,CloudEdge,Analytics,Retired,2024-10-07,Prototype,Planned,2024-11-14,Shirley Gray,536166
PROD-11156,Insight360,Analytics,In Development,2021-02-26,Pre-Launch,Launched,2024-05-31,Lisa Gibbs,235552
PROD-11157,CoreAnalytics,IoT,Retired,2023-07-26,Concept,In Pipeline,2023-04-02,David Johnston,163102
PROD-11158,NetConnect,Security,Retired,2024-05-30,Enhancement,Cancelled,2023-12-06,James Vaughn,336194
PROD-11159,CoreAnalytics,Security,Retired,2024-06-11,Pre-Launch,In Pipeline,2025-03-30,Edgar Evans,314887
PROD-11160,CoreAnalytics,IoT,Retired,2024-08-27,Concept,Not Launched,2024-09-29,Nicole Le,204116
PROD-11161,Insight360,Security,In Development,2023-11-05,Testing,Cancelled,2025-06-30,Stephanie Myers,374628
PROD-11162,NetConnect,Cloud Platform,Pilot,2024-10-16,Prototype,Launched,2023-09-04,Katie Gaines,307909
PROD-11163,CloudEdge,Analytics,Active,2024-11-06,Pre-Launch,Not Launched,2023-12-16,Frederick Gomez,543839
PROD-11164,NetConnect,Networking,In Development,2020-12-24,Testing,Cancelled,2023-02-28,Katherine Payne,503968
PROD-11165,NetConnect,Security,Retired,2024-02-05,Enhancement,Launched,2024-05-05,Jay Bradford,442665
PROD-11166,NetConnect,Networking,Active,2022-04-05,Prototype,In Pipeline,2024-12-04,Brian Cochran,469001
PROD-11167,CoreAnalytics,Cloud Platform,Pilot,2021-07-10,Concept,Cancelled,2024-04-19,Michael Phelps,567560
PROD-11168,CloudEdge,Networking,Retired,2021-09-12,Enhancement,Planned,2023-11-19,Linda Thomas,157177
PROD-11169,CloudEdge,Cloud Platform,GA (General Availability),2023-11-12,Pre-Launch,Planned,2025-05-12,Bethany Woodward,524904
PROD-11170,DataSphere,Analytics,Pilot,2025-08-29,Prototype,In Pipeline,2025-08-15,Benjamin Garcia,495753
PROD-11171,CloudEdge,Networking,In Development,2020-09-10,Testing,Launched,2025-01-26,Kimberly Moore,197985
PROD-11172,DataSphere,Cloud Platform,In Development,2020-09-10,Prototype,Not Launched,2024-02-08,Katie Keller,463783
PROD-11173,NetConnect,Networking,In Development,2024-05-08,Testing,Not Launched,2023-01-23,April Mitchell,435918
PROD-11174,NetConnect,IoT,Active,2025-07-25,Testing,Launched,2025-07-23,Christopher Harrison,597599
PROD-11175,CloudEdge,Networking,Active,2024-07-19,Prototype,Not Launched,2025-04-06,Maria Rowe,158404
PROD-11176,Insight360,IoT,Active,2021-06-28,Testing,In Pipeline,2023-01-06,Jocelyn Hill,224379
PROD-11177,Insight360,Networking,Active,2025-01-23,Enhancement,Planned,2025-05-03,Glenn Allen,298792
PROD-11178,DataSphere,Analytics,Active,2024-10-11,Prototype,Cancelled,2023-09-25,Mitchell Fernandez,470741
PROD-11179,NetConnect,IoT,GA (General Availability),2024-11-27,Testing,Launched,2023-07-13,Kevin Taylor,274139
PROD-11180,DataSphere,IoT,Active,2023-01-08,Testing,Launched,2024-10-19,Katie Sanchez,278976
PROD-11181,Insight360,IoT,Pilot,2022-04-08,Testing,Planned,2022-09-05,Lucas Marsh,379743
PROD-11182,DataSphere,Cloud Platform,Active,2025-08-07,Prototype,Planned,2025-08-28,Christina Nolan,391987
PROD-11183,CloudEdge,Analytics,Pilot,2022-07-17,Concept,Planned,2023-09-09,Amanda Simon,442279
PROD-11184,CloudEdge,IoT,GA (General Availability),2024-11-26,Pre-Launch,In Pipeline,2024-04-01,Angela Young,444765
PROD-11185,Insight360,IoT,Pilot,2020-09-15,Testing,Planned,2023-03-25,Kimberly Gallagher,371864
PROD-11186,DataSphere,Cloud Platform,Pilot,2025-06-04,Pre-Launch,Cancelled,2023-09-15,Jennifer Lee,491291
PROD-11187,Insight360,Security,In Development,2024-02-29,Pre-Launch,Not Launched,2023-02-12,Nancy Macdonald,266524
PROD-11188,NetConnect,Networking,Active,2021-10-26,Testing,Not Launched,2022-11-27,Amy Savage,352089
PROD-11189,NetConnect,IoT,Pilot,2025-03-18,Concept,Launched,2024-07-25,Kristin Carroll,427691
PROD-11190,NetConnect,IoT,In Development,2023-01-06,Enhancement,Cancelled,2024-12-15,Melissa Larson,458478
PROD-11191,NetConnect,Cloud Platform,In Development,2024-12-16,Concept,Launched,2023-10-07,Jeremiah Adams,387299
PROD-11192,CoreAnalytics,IoT,In Development,2024-04-24,Pre-Launch,Not Launched,2023-06-04,Samuel Hall,262990
PROD-11193,CoreAnalytics,Cloud Platform,Pilot,2024-11-06,Testing,Cancelled,2022-09-06,Brian Harper,565103
PROD-11194,CloudEdge,IoT,Retired,2020-09-16,Concept,Cancelled,2025-07-02,Katherine Harrison,186492
PROD-11195,NetConnect,Cloud Platform,Pilot,2020-12-27,Prototype,Launched,2024-05-04,Justin White,252600
PROD-11196,Insight360,Analytics,Pilot,2022-02-05,Prototype,Launched,2023-03-11,Kristen Wyatt,593231
PROD-11197,Insight360,Cloud Platform,Pilot,2021-01-30,Pre-Launch,Not Launched,2023-09-08,Andrea Jordan MD,541779
PROD-11198,Insight360,Security,Active,2022-07-16,Concept,Launched,2023-10-02,Monica Conley,432915
PROD-11199,CoreAnalytics,IoT,Active,2023-04-10,Enhancement,Not Launched,2023-09-18,Donald Davis,319157
PROD-11200,Insight360,Cloud Platform,Retired,2024-02-10,Enhancement,Launched,2024-05-30,Kevin Montgomery,444615
PROD-11201,CloudEdge,Analytics,Active,2024-12-26,Concept,Not Launched,2022-10-04,Michelle Cox,484425
PROD-11202,CloudEdge,IoT,Pilot,2025-01-01,Testing,Launched,2022-12-24,Ronnie Rogers,461786
PROD-11203,CloudEdge,Security,Active,2023-01-06,Pre-Launch,In Pipeline,2025-07-02,Micheal Moses,319301
PROD-11204,CoreAnalytics,Networking,Active,2025-06-03,Concept,In Pipeline,2024-04-03,Maurice Kramer,328900
PROD-11205,NetConnect,Networking,Pilot,2021-04-01,Enhancement,In Pipeline,2025-01-14,Vanessa Santos,204802
PROD-11206,Insight360,Analytics,Active,2022-07-12,Prototype,Launched,2023-10-27,Paul Stephens,446159
PROD-11207,NetConnect,Analytics,GA (General Availability),2024-01-07,Testing,Planned,2024-03-10,Emily Meyer,491769
PROD-11208,Insight360,Analytics,Retired,2024-06-27,Concept,Not Launched,2023-06-28,Douglas Phillips,467496
PROD-11209,CloudEdge,IoT,GA (General Availability),2022-12-01,Enhancement,Cancelled,2023-08-02,Carla Wyatt,459686
PROD-11210,CloudEdge,Cloud Platform,Retired,2021-04-08,Concept,Launched,2022-12-18,Krystal Taylor,309498
PROD-11211,CloudEdge,Security,Active,2022-05-12,Prototype,In Pipeline,2023-10-28,Christian Smith,504601
PROD-11212,CoreAnalytics,IoT,Pilot,2025-08-07,Testing,Not Launched,2023-05-01,Christopher Mays,383107
PROD-11213,CoreAnalytics,Security,Pilot,2025-03-28,Testing,Launched,2025-06-17,Wesley Williams,182648
PROD-11214,NetConnect,Networking,Pilot,2025-07-04,Testing,Launched,2025-01-07,Russell Myers,386357
PROD-11215,CloudEdge,Networking,Pilot,2022-04-23,Concept,Cancelled,2024-04-18,Tonya Ramos,312215
PROD-11216,Insight360,Security,Pilot,2024-05-20,Concept,Planned,2024-12-14,Jessica Reed,549767
PROD-11217,DataSphere,Networking,Pilot,2022-10-11,Testing,Not Launched,2023-05-30,Candace Blackwell,288655
PROD-11218,DataSphere,Networking,Active,2024-08-30,Prototype,Not Launched,2023-04-08,Maria Martinez,295541
PROD-11219,Insight360,Security,GA (General Availability),2022-09-25,Testing,Cancelled,2023-01-16,Michael Wagner,401140
PROD-11220,Insight360,Cloud Platform,Pilot,2024-08-13,Pre-Launch,In Pipeline,2022-10-03,Stacey Rodriguez,491673
PROD-11221,Insight360,Cloud Platform,Pilot,2023-07-27,Pre-Launch,Cancelled,2025-01-07,Maria Rodriguez,340550
PROD-11222,CoreAnalytics,Cloud Platform,In Development,2025-06-25,Enhancement,In Pipeline,2023-09-21,Julie Sanders,403798
PROD-11223,CloudEdge,Analytics,Pilot,2021-11-05,Concept,Launched,2023-07-15,Kenneth Nelson,364894
PROD-11224,Insight360,Networking,GA (General Availability),2024-09-26,Pre-Launch,Launched,2022-12-25,Victor Chung,451807
PROD-11225,NetConnect,Cloud Platform,In Development,2025-07-13,Prototype,Cancelled,2024-02-19,Jacob Baird,265037
PROD-11226,CoreAnalytics,Security,Retired,2021-11-10,Prototype,Launched,2023-08-06,Linda Schmidt,365705
PROD-11227,Insight360,Security,Pilot,2021-07-14,Pre-Launch,Cancelled,2025-05-13,Susan Phillips,376850
PROD-11228,CloudEdge,Security,GA (General Availability),2024-04-19,Prototype,Not Launched,2025-05-06,Nancy Grant,409929
PROD-11229,NetConnect,Analytics,In Development,2021-11-23,Pre-Launch,In Pipeline,2022-10-24,Nancy Cross,466879
PROD-11230,Insight360,Analytics,Pilot,2022-06-18,Prototype,Planned,2025-05-25,Jessica Prince,325051
PROD-11231,Insight360,Networking,GA (General Availability),2021-02-08,Pre-Launch,Launched,2025-03-04,Gary Kemp,543233
PROD-11232,CoreAnalytics,Analytics,Active,2024-07-12,Prototype,Cancelled,2024-05-16,Krista Griffin,299725
PROD-11233,CloudEdge,Cloud Platform,Active,2022-06-11,Enhancement,Planned,2023-10-12,Phillip Velez,349848
