Problem Statement,Description,Issue ID,Summary,Customer Name,Product Name,SR ID,Pd_ID
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70022,Sync issue,"Adams, Osborne and Hall",NetConnect,SR-80029,PROD-11818
Dashboard not loading,Average response time exceeds 10s,ISS-70023,API latency,"Clay, Schroeder and Rojas",Insight360,SR-83303,PROD-11043
Dashboard not loading,API call fails after 30s,ISS-70024,Login issue post-upgrade,"Lopez, Bowen and Brown",CoreAnalytics,SR-81041,PROD-11253
Login failures after upgrade,Average response time exceeds 10s,ISS-70025,Performance degradation,Guerrero Ltd,NetConnect,SR-82568,PROD-11068
Slow system response,Data not syncing between apps,ISS-70026,Sync issue,Powell-Benitez,Insight360,SR-84640,PROD-11035
Missing data sync,Dashboard page crashes intermittently,ISS-70027,Performance degradation,Foster-Blair,Insight360,SR-84325,PROD-11653
Missing data sync,API call fails after 30s,ISS-70028,UI crash,Mason Ltd,CloudEdge,SR-84258,PROD-11714
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70029,Login issue post-upgrade,Sanchez-Graham,NetConnect,SR-83476,PROD-11345
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70030,UI crash,Austin-Davies,CoreAnalytics,SR-80937,PROD-11357
API timeout errors,Users unable to log in after v2.3 patch,ISS-70031,API latency,Silva-Lee,CoreAnalytics,SR-84096,PROD-11723
Missing data sync,Data not syncing between apps,ISS-70032,Login issue post-upgrade,Moore PLC,Insight360,SR-83948,PROD-11205
Login failures after upgrade,API call fails after 30s,ISS-70033,API latency,Bush Inc,NetConnect,SR-83958,PROD-11841
Slow system response,Average response time exceeds 10s,ISS-70034,Sync issue,Brennan Group,CloudEdge,SR-84913,PROD-11520
Missing data sync,Dashboard page crashes intermittently,ISS-70035,Sync issue,"Beasley, Diaz and Martin",NetConnect,SR-83348,PROD-11130
API timeout errors,Data not syncing between apps,ISS-70036,Login issue post-upgrade,Gonzalez-Collins,CoreAnalytics,SR-84074,PROD-11473
Slow system response,Data not syncing between apps,ISS-70037,UI crash,"Burke, Ward and Gibson",CoreAnalytics,SR-82237,PROD-11372
Dashboard not loading,Users unable to log in after v2.3 patch,ISS-70038,API latency,"Hall, Davis and Butler",DataSphere,SR-82211,PROD-11458
Dashboard not loading,API call fails after 30s,ISS-70039,Login issue post-upgrade,Perez PLC,DataSphere,SR-80976,PROD-11589
Missing data sync,Users unable to log in after v2.3 patch,ISS-70040,UI crash,"Griffin, Watkins and Ward",Insight360,SR-81058,PROD-11083
Login failures after upgrade,Average response time exceeds 10s,ISS-70041,UI crash,"Jefferson, Riggs and Morrow",DataSphere,SR-84408,PROD-11878
API timeout errors,Dashboard page crashes intermittently,ISS-70042,Sync issue,Logan-Smith,NetConnect,SR-83250,PROD-11819
API timeout errors,Users unable to log in after v2.3 patch,ISS-70043,Sync issue,Moore PLC,DataSphere,SR-83197,PROD-11784
API timeout errors,Users unable to log in after v2.3 patch,ISS-70044,UI crash,Osborn Inc,CoreAnalytics,SR-82726,PROD-11946
Slow system response,Users unable to log in after v2.3 patch,ISS-70045,Performance degradation,Hernandez-Carter,Insight360,SR-81856,PROD-11956
Slow system response,API call fails after 30s,ISS-70046,Login issue post-upgrade,"Garcia, Mcmillan and Chaney",DataSphere,SR-81442,PROD-11552
Slow system response,Average response time exceeds 10s,ISS-70047,Performance degradation,Johnson-Fitzgerald,CoreAnalytics,SR-80204,PROD-11396
Missing data sync,Average response time exceeds 10s,ISS-70048,Performance degradation,Hart LLC,CloudEdge,SR-81680,PROD-11634
API timeout errors,Average response time exceeds 10s,ISS-70049,Sync issue,"Arellano, Lopez and Huerta",NetConnect,SR-80791,PROD-11567
API timeout errors,API call fails after 30s,ISS-70050,Login issue post-upgrade,"Cole, Barron and Smith",CoreAnalytics,SR-82245,PROD-11059
Dashboard not loading,API call fails after 30s,ISS-70051,Login issue post-upgrade,Walker-Shea,NetConnect,SR-84686,PROD-11554
API timeout errors,Data not syncing between apps,ISS-70052,API latency,Smith-Bentley,CloudEdge,SR-80167,PROD-11147
Dashboard not loading,Dashboard page crashes intermittently,ISS-70053,Login issue post-upgrade,Byrd Inc,DataSphere,SR-84585,PROD-11875
API timeout errors,Dashboard page crashes intermittently,ISS-70054,UI crash,Barnes PLC,CoreAnalytics,SR-80983,PROD-11854
Dashboard not loading,Dashboard page crashes intermittently,ISS-70055,API latency,Myers-Smith,Insight360,SR-80599,PROD-11513
Missing data sync,Data not syncing between apps,ISS-70056,Performance degradation,Bishop-Gonzalez,DataSphere,SR-83395,PROD-11234
Slow system response,API call fails after 30s,ISS-70057,Login issue post-upgrade,Moore Group,CloudEdge,SR-83541,PROD-11989
Slow system response,Users unable to log in after v2.3 patch,ISS-70058,Performance degradation,Sandoval Group,CloudEdge,SR-80560,PROD-12000
Login failures after upgrade,Data not syncing between apps,ISS-70059,UI crash,Wolf Group,NetConnect,SR-82231,PROD-11584
Missing data sync,Dashboard page crashes intermittently,ISS-70060,UI crash,Andrade-Moore,DataSphere,SR-81742,PROD-11303
Missing data sync,Data not syncing between apps,ISS-70061,Sync issue,Davis-Tucker,DataSphere,SR-82836,PROD-11216
API timeout errors,API call fails after 30s,ISS-70062,API latency,"Fox, Johns and Deleon",NetConnect,SR-84494,PROD-11989
API timeout errors,Average response time exceeds 10s,ISS-70063,UI crash,"Schneider, Brown and Ellison",CloudEdge,SR-80710,PROD-11085
Login failures after upgrade,Average response time exceeds 10s,ISS-70064,Sync issue,Ibarra-Adams,NetConnect,SR-80645,PROD-11607
Dashboard not loading,API call fails after 30s,ISS-70065,UI crash,"Hill, Beck and Garcia",NetConnect,SR-84506,PROD-11632
Missing data sync,API call fails after 30s,ISS-70066,API latency,"Carter, Hughes and Brooks",Insight360,SR-82824,PROD-11982
Missing data sync,Data not syncing between apps,ISS-70067,API latency,Myers Group,CoreAnalytics,SR-80927,PROD-11835
Login failures after upgrade,Average response time exceeds 10s,ISS-70068,Login issue post-upgrade,"Lopez, Bates and Phillips",NetConnect,SR-81816,PROD-11119
Slow system response,Users unable to log in after v2.3 patch,ISS-70069,Sync issue,Williamson-Kelly,NetConnect,SR-83706,PROD-11999
Dashboard not loading,API call fails after 30s,ISS-70070,Performance degradation,Smith and Sons,NetConnect,SR-83915,PROD-11452
API timeout errors,Dashboard page crashes intermittently,ISS-70071,Performance degradation,Foster-Blair,CloudEdge,SR-81677,PROD-11247
Slow system response,Dashboard page crashes intermittently,ISS-70072,API latency,"Thomas, Smith and Cook",NetConnect,SR-84399,PROD-11680
API timeout errors,Users unable to log in after v2.3 patch,ISS-70073,UI crash,"Hall, Davis and Butler",NetConnect,SR-82479,PROD-11417
Dashboard not loading,Dashboard page crashes intermittently,ISS-70074,API latency,Miranda-Dennis,Insight360,SR-81585,PROD-11422
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70075,Performance degradation,"Reid, Hamilton and Evans",DataSphere,SR-81878,PROD-11812
Dashboard not loading,API call fails after 30s,ISS-70076,API latency,Simpson-Peterson,Insight360,SR-80731,PROD-11238
API timeout errors,Average response time exceeds 10s,ISS-70077,Login issue post-upgrade,Roman LLC,Insight360,SR-82329,PROD-11795
API timeout errors,Dashboard page crashes intermittently,ISS-70078,API latency,"Gonzalez, Davis and Bonilla",NetConnect,SR-83662,PROD-11895
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70079,API latency,Wells LLC,CloudEdge,SR-80212,PROD-11325
Dashboard not loading,Average response time exceeds 10s,ISS-70080,UI crash,Davis Group,Insight360,SR-83858,PROD-11675
Dashboard not loading,Average response time exceeds 10s,ISS-70081,UI crash,"Jenkins, Barrett and Klein",CoreAnalytics,SR-83296,PROD-11026
Slow system response,Dashboard page crashes intermittently,ISS-70082,UI crash,Mitchell-Mendez,CoreAnalytics,SR-81856,PROD-11899
Dashboard not loading,API call fails after 30s,ISS-70083,Login issue post-upgrade,Chaney-Lozano,CloudEdge,SR-84446,PROD-11519
Slow system response,Data not syncing between apps,ISS-70084,Login issue post-upgrade,Gutierrez LLC,CoreAnalytics,SR-84679,PROD-11076
Login failures after upgrade,Data not syncing between apps,ISS-70085,Sync issue,"Hernandez, White and Burgess",CoreAnalytics,SR-84646,PROD-11765
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70086,Login issue post-upgrade,"Thomas, Yates and Chen",NetConnect,SR-81384,PROD-11200
Slow system response,API call fails after 30s,ISS-70087,UI crash,"Payne, Holland and White",DataSphere,SR-84134,PROD-11896
Missing data sync,API call fails after 30s,ISS-70088,API latency,"Murphy, Thompson and Reese",CloudEdge,SR-80806,PROD-11266
Missing data sync,Average response time exceeds 10s,ISS-70089,Sync issue,Ibarra-Adams,CloudEdge,SR-84113,PROD-11156
Missing data sync,Dashboard page crashes intermittently,ISS-70090,Performance degradation,Gray-Davis,DataSphere,SR-80810,PROD-11899
Missing data sync,Data not syncing between apps,ISS-70091,UI crash,"Morris, Tate and Woods",CloudEdge,SR-80459,PROD-11867
Slow system response,Data not syncing between apps,ISS-70092,Login issue post-upgrade,Bryant-Lawson,Insight360,SR-82229,PROD-11502
Slow system response,API call fails after 30s,ISS-70093,UI crash,"Patel, Roberts and Hall",DataSphere,SR-80271,PROD-11845
Login failures after upgrade,Average response time exceeds 10s,ISS-70094,API latency,"Stein, Randolph and Carter",DataSphere,SR-84193,PROD-11483
Dashboard not loading,Users unable to log in after v2.3 patch,ISS-70095,Performance degradation,Bartlett PLC,DataSphere,SR-82068,PROD-11462
Slow system response,Dashboard page crashes intermittently,ISS-70096,UI crash,Riggs-Hawkins,Insight360,SR-80729,PROD-11475
Missing data sync,API call fails after 30s,ISS-70097,UI crash,Park PLC,CoreAnalytics,SR-84091,PROD-11457
Missing data sync,Dashboard page crashes intermittently,ISS-70098,Performance degradation,"Jennings, Lester and Brooks",Insight360,SR-83503,PROD-11186
Dashboard not loading,Dashboard page crashes intermittently,ISS-70099,UI crash,"Waller, Stephens and Alvarez",DataSphere,SR-80467,PROD-11789
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70100,API latency,Carlson PLC,Insight360,SR-82433,PROD-11179
Login failures after upgrade,Average response time exceeds 10s,ISS-70101,Performance degradation,Wolf Group,CoreAnalytics,SR-82587,PROD-11397
Login failures after upgrade,Average response time exceeds 10s,ISS-70102,Sync issue,"Reynolds, Joyce and Mercer",CloudEdge,SR-82769,PROD-11957
Missing data sync,Average response time exceeds 10s,ISS-70103,Login issue post-upgrade,Clark-Hurst,Insight360,SR-84522,PROD-11575
Slow system response,Data not syncing between apps,ISS-70104,UI crash,Carroll Inc,NetConnect,SR-82911,PROD-11754
Missing data sync,Data not syncing between apps,ISS-70105,Login issue post-upgrade,Bennett-Flores,CloudEdge,SR-84792,PROD-11014
Login failures after upgrade,Average response time exceeds 10s,ISS-70106,API latency,Butler-Stewart,CoreAnalytics,SR-81873,PROD-11569
Login failures after upgrade,Data not syncing between apps,ISS-70107,Login issue post-upgrade,"Miranda, Martin and Erickson",NetConnect,SR-84062,PROD-11545
Missing data sync,Average response time exceeds 10s,ISS-70108,UI crash,Kemp Inc,Insight360,SR-80762,PROD-11836
Dashboard not loading,Data not syncing between apps,ISS-70109,API latency,Gilbert-Smith,Insight360,SR-83107,PROD-11707
Missing data sync,Data not syncing between apps,ISS-70110,UI crash,"Ramos, Young and Olson",NetConnect,SR-82026,PROD-11687
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70111,UI crash,Chaney-Lozano,Insight360,SR-82402,PROD-11987
Login failures after upgrade,Data not syncing between apps,ISS-70112,UI crash,Bradley-Merritt,NetConnect,SR-81033,PROD-11236
Slow system response,Dashboard page crashes intermittently,ISS-70113,Performance degradation,"Gonzales, Allen and Carpenter",CloudEdge,SR-80340,PROD-11723
Missing data sync,Dashboard page crashes intermittently,ISS-70114,Sync issue,"Campbell, Clark and Reese",CoreAnalytics,SR-80722,PROD-11509
API timeout errors,Data not syncing between apps,ISS-70115,UI crash,Howell-Lawson,CloudEdge,SR-80437,PROD-11798
Slow system response,Average response time exceeds 10s,ISS-70116,Sync issue,Watson PLC,NetConnect,SR-80279,PROD-11712
API timeout errors,Average response time exceeds 10s,ISS-70117,Login issue post-upgrade,"Raymond, Lara and Daniel",CoreAnalytics,SR-83880,PROD-11304
Slow system response,API call fails after 30s,ISS-70118,UI crash,Soto LLC,NetConnect,SR-81135,PROD-11719
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70119,Login issue post-upgrade,Thomas PLC,CoreAnalytics,SR-83871,PROD-11538
API timeout errors,API call fails after 30s,ISS-70120,Login issue post-upgrade,Frazier-Goodman,NetConnect,SR-84149,PROD-11407
API timeout errors,API call fails after 30s,ISS-70121,Performance degradation,Price and Sons,CloudEdge,SR-81168,PROD-11962
API timeout errors,API call fails after 30s,ISS-70122,UI crash,"Santiago, Hall and Lara",Insight360,SR-81982,PROD-11979
Dashboard not loading,Users unable to log in after v2.3 patch,ISS-70123,Sync issue,Baker Inc,Insight360,SR-81069,PROD-11635
Slow system response,Data not syncing between apps,ISS-70124,API latency,Carlson PLC,NetConnect,SR-82551,PROD-11458
Missing data sync,API call fails after 30s,ISS-70125,API latency,Smith-Cruz,Insight360,SR-81087,PROD-11731
Login failures after upgrade,Average response time exceeds 10s,ISS-70126,Performance degradation,Ramos Inc,DataSphere,SR-80531,PROD-11106
API timeout errors,Data not syncing between apps,ISS-70127,UI crash,Harris-Reed,CoreAnalytics,SR-84118,PROD-11445
API timeout errors,Users unable to log in after v2.3 patch,ISS-70128,UI crash,Bautista Ltd,CloudEdge,SR-83774,PROD-11827
Login failures after upgrade,Data not syncing between apps,ISS-70129,UI crash,Wright-Shaw,CoreAnalytics,SR-82951,PROD-11500
Slow system response,Users unable to log in after v2.3 patch,ISS-70130,Sync issue,"Klein, Rodriguez and Chapman",NetConnect,SR-80206,PROD-11708
API timeout errors,API call fails after 30s,ISS-70131,Performance degradation,Anderson Inc,DataSphere,SR-83119,PROD-11680
Missing data sync,Data not syncing between apps,ISS-70132,Sync issue,"Green, Hudson and Lara",CoreAnalytics,SR-81111,PROD-11489
Missing data sync,API call fails after 30s,ISS-70133,Performance degradation,Rogers LLC,Insight360,SR-84483,PROD-11540
Login failures after upgrade,Average response time exceeds 10s,ISS-70134,API latency,Suarez LLC,DataSphere,SR-82792,PROD-11005
API timeout errors,Users unable to log in after v2.3 patch,ISS-70135,UI crash,"Henderson, Johnson and Johnson",DataSphere,SR-83674,PROD-11544
Dashboard not loading,API call fails after 30s,ISS-70136,Login issue post-upgrade,Burke Group,NetConnect,SR-84808,PROD-11238
Dashboard not loading,Data not syncing between apps,ISS-70137,API latency,Powell-English,DataSphere,SR-83688,PROD-11471
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70138,Sync issue,"Beard, Cox and Nguyen",CoreAnalytics,SR-82562,PROD-11789
Dashboard not loading,Average response time exceeds 10s,ISS-70139,UI crash,Pierce Inc,CoreAnalytics,SR-81598,PROD-11918
Slow system response,API call fails after 30s,ISS-70140,UI crash,"Jefferson, Riggs and Morrow",NetConnect,SR-82311,PROD-11100
Slow system response,Dashboard page crashes intermittently,ISS-70141,Performance degradation,"Garcia, Mcmillan and Chaney",CoreAnalytics,SR-81678,PROD-11432
Login failures after upgrade,Average response time exceeds 10s,ISS-70142,Login issue post-upgrade,Brown-Jones,CoreAnalytics,SR-83032,PROD-11923
Slow system response,API call fails after 30s,ISS-70143,Sync issue,Maynard-Johnson,Insight360,SR-80648,PROD-11781
Slow system response,Users unable to log in after v2.3 patch,ISS-70144,Sync issue,"Baxter, Thomas and Cordova",CloudEdge,SR-81768,PROD-11582
Dashboard not loading,Data not syncing between apps,ISS-70145,API latency,Lee PLC,CloudEdge,SR-80841,PROD-11267
Missing data sync,API call fails after 30s,ISS-70146,Performance degradation,Adkins PLC,CloudEdge,SR-82664,PROD-11782
Dashboard not loading,Average response time exceeds 10s,ISS-70147,API latency,"Gallagher, Daniel and Valenzuela",NetConnect,SR-83802,PROD-11134
Dashboard not loading,Average response time exceeds 10s,ISS-70148,API latency,Bradley-Merritt,CloudEdge,SR-82306,PROD-11882
API timeout errors,Users unable to log in after v2.3 patch,ISS-70149,UI crash,Miller Inc,DataSphere,SR-81373,PROD-11293
API timeout errors,API call fails after 30s,ISS-70150,API latency,"Robinson, Gamble and Palmer",CloudEdge,SR-84584,PROD-11400
API timeout errors,API call fails after 30s,ISS-70151,Login issue post-upgrade,"Daniels, Hubbard and Sweeney",CloudEdge,SR-80270,PROD-11667
Slow system response,Average response time exceeds 10s,ISS-70152,UI crash,Riggs-Hawkins,CloudEdge,SR-83944,PROD-11358
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70153,Performance degradation,Ortiz Ltd,NetConnect,SR-82340,PROD-11770
Missing data sync,Dashboard page crashes intermittently,ISS-70154,UI crash,"Solis, Garcia and Smith",CoreAnalytics,SR-83640,PROD-11763
API timeout errors,Dashboard page crashes intermittently,ISS-70155,Performance degradation,Barrera-Moody,CloudEdge,SR-81757,PROD-11876
API timeout errors,Average response time exceeds 10s,ISS-70156,Sync issue,Hunter-Church,CloudEdge,SR-80093,PROD-11435
Login failures after upgrade,Average response time exceeds 10s,ISS-70157,Sync issue,Murray and Sons,NetConnect,SR-82038,PROD-11170
Slow system response,API call fails after 30s,ISS-70158,Performance degradation,Gonzalez-Collins,CloudEdge,SR-84678,PROD-11722
Slow system response,API call fails after 30s,ISS-70159,Login issue post-upgrade,"Bush, Carter and Ramsey",CoreAnalytics,SR-80196,PROD-11961
Slow system response,Data not syncing between apps,ISS-70160,Login issue post-upgrade,"Wong, Hamilton and Smith",CloudEdge,SR-84933,PROD-11672
Missing data sync,API call fails after 30s,ISS-70161,UI crash,"Reid, Hamilton and Evans",CoreAnalytics,SR-80211,PROD-11359
API timeout errors,API call fails after 30s,ISS-70162,Sync issue,Hicks-Owen,Insight360,SR-80675,PROD-11544
Slow system response,Data not syncing between apps,ISS-70163,Sync issue,Hinton-Dixon,Insight360,SR-80731,PROD-11164
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70164,API latency,Taylor Group,CloudEdge,SR-83617,PROD-11883
Missing data sync,Dashboard page crashes intermittently,ISS-70165,Performance degradation,Baker-Johnson,NetConnect,SR-83469,PROD-11474
Dashboard not loading,Users unable to log in after v2.3 patch,ISS-70166,Performance degradation,"Ryan, Murphy and Williamson",NetConnect,SR-83841,PROD-11472
Missing data sync,Data not syncing between apps,ISS-70167,UI crash,Smith-Grant,CoreAnalytics,SR-82827,PROD-11254
API timeout errors,Average response time exceeds 10s,ISS-70168,Sync issue,Harris-Williams,Insight360,SR-84196,PROD-11734
Slow system response,Average response time exceeds 10s,ISS-70169,Performance degradation,Myers Group,CoreAnalytics,SR-81656,PROD-11626
API timeout errors,Average response time exceeds 10s,ISS-70170,API latency,Solis Inc,DataSphere,SR-81794,PROD-11443
Dashboard not loading,Users unable to log in after v2.3 patch,ISS-70171,UI crash,"Bruce, Jensen and Carroll",Insight360,SR-82265,PROD-11081
API timeout errors,Users unable to log in after v2.3 patch,ISS-70172,Performance degradation,Evans Ltd,Insight360,SR-84427,PROD-11916
API timeout errors,API call fails after 30s,ISS-70173,API latency,Cruz-Martinez,CoreAnalytics,SR-82206,PROD-11065
Login failures after upgrade,Data not syncing between apps,ISS-70174,UI crash,Woodward-Davis,CoreAnalytics,SR-82461,PROD-11391
Login failures after upgrade,Average response time exceeds 10s,ISS-70175,API latency,"Cain, Davis and Pratt",CloudEdge,SR-83289,PROD-11343
Slow system response,Data not syncing between apps,ISS-70176,API latency,Long-Johnson,CloudEdge,SR-84328,PROD-11006
API timeout errors,Users unable to log in after v2.3 patch,ISS-70177,API latency,"Smith, Sweeney and Burch",CoreAnalytics,SR-83570,PROD-11793
Missing data sync,Dashboard page crashes intermittently,ISS-70178,Performance degradation,Roman LLC,Insight360,SR-83759,PROD-11055
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70179,Login issue post-upgrade,Wilson PLC,CloudEdge,SR-84013,PROD-11822
Dashboard not loading,Data not syncing between apps,ISS-70180,UI crash,"Green, Hudson and Lara",DataSphere,SR-80328,PROD-11552
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70181,API latency,Rogers and Sons,DataSphere,SR-82340,PROD-11148
Missing data sync,Dashboard page crashes intermittently,ISS-70182,Login issue post-upgrade,Turner Inc,CoreAnalytics,SR-81802,PROD-11583
Login failures after upgrade,Data not syncing between apps,ISS-70183,Sync issue,Hernandez-Carter,Insight360,SR-84709,PROD-11927
Missing data sync,Users unable to log in after v2.3 patch,ISS-70184,Login issue post-upgrade,Mcknight Group,Insight360,SR-84725,PROD-11440
Login failures after upgrade,Average response time exceeds 10s,ISS-70185,Performance degradation,"Shannon, Collins and Sutton",Insight360,SR-80901,PROD-11163
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70186,Sync issue,Perez LLC,DataSphere,SR-84337,PROD-11938
API timeout errors,Data not syncing between apps,ISS-70187,Login issue post-upgrade,Gutierrez LLC,NetConnect,SR-82607,PROD-11242
Dashboard not loading,Dashboard page crashes intermittently,ISS-70188,Sync issue,Jackson-Harmon,DataSphere,SR-83935,PROD-11844
Missing data sync,Average response time exceeds 10s,ISS-70189,UI crash,Stanley Inc,CloudEdge,SR-84739,PROD-11201
Dashboard not loading,Users unable to log in after v2.3 patch,ISS-70190,Login issue post-upgrade,"Herrera, Morton and Bell",Insight360,SR-83835,PROD-11046
API timeout errors,API call fails after 30s,ISS-70191,Login issue post-upgrade,Kemp Inc,Insight360,SR-83902,PROD-11928
Slow system response,Users unable to log in after v2.3 patch,ISS-70192,Sync issue,Johnson-Nelson,CoreAnalytics,SR-81060,PROD-11496
Slow system response,Users unable to log in after v2.3 patch,ISS-70193,API latency,Caldwell Ltd,CloudEdge,SR-82833,PROD-11804
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70194,Sync issue,Porter-Martin,CloudEdge,SR-80221,PROD-11040
Missing data sync,Data not syncing between apps,ISS-70195,Sync issue,Johns Group,NetConnect,SR-81770,PROD-11093
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70196,API latency,Stout PLC,Insight360,SR-80682,PROD-11410
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70197,Sync issue,Jones-Rios,CoreAnalytics,SR-81689,PROD-11522
API timeout errors,API call fails after 30s,ISS-70198,API latency,"Morris, Cole and Flowers",CloudEdge,SR-82562,PROD-11079
API timeout errors,Data not syncing between apps,ISS-70199,API latency,Wright-Shaw,CloudEdge,SR-84362,PROD-11822
Login failures after upgrade,API call fails after 30s,ISS-70200,API latency,Ibarra-Adams,CloudEdge,SR-84391,PROD-11524
Dashboard not loading,Average response time exceeds 10s,ISS-70201,Performance degradation,"Ashley, Garrett and Morrison",CoreAnalytics,SR-81538,PROD-11375
Dashboard not loading,Dashboard page crashes intermittently,ISS-70202,Sync issue,Haas Ltd,CloudEdge,SR-80331,PROD-11341
Missing data sync,Data not syncing between apps,ISS-70203,Login issue post-upgrade,Simmons Ltd,NetConnect,SR-83784,PROD-11699
Missing data sync,Users unable to log in after v2.3 patch,ISS-70204,Login issue post-upgrade,Rodriguez-Stewart,DataSphere,SR-82739,PROD-11479
Slow system response,Users unable to log in after v2.3 patch,ISS-70205,API latency,"Zimmerman, Smith and Orr",CloudEdge,SR-83000,PROD-11187
API timeout errors,API call fails after 30s,ISS-70206,API latency,Wilson-Maxwell,CoreAnalytics,SR-80423,PROD-11145
API timeout errors,Dashboard page crashes intermittently,ISS-70207,Performance degradation,Williams LLC,CloudEdge,SR-82534,PROD-11714
Missing data sync,API call fails after 30s,ISS-70208,UI crash,"Clark, Smith and Anderson",DataSphere,SR-83348,PROD-11032
API timeout errors,Users unable to log in after v2.3 patch,ISS-70209,Sync issue,Wood LLC,NetConnect,SR-84428,PROD-11404
Dashboard not loading,API call fails after 30s,ISS-70210,Performance degradation,Norris-Riley,DataSphere,SR-84557,PROD-11290
Dashboard not loading,API call fails after 30s,ISS-70211,Performance degradation,"Harris, Lewis and Chavez",NetConnect,SR-83057,PROD-11010
Dashboard not loading,Data not syncing between apps,ISS-70212,UI crash,Pennington Inc,NetConnect,SR-82304,PROD-11834
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70213,Login issue post-upgrade,Short Group,CloudEdge,SR-81045,PROD-11197
Dashboard not loading,Data not syncing between apps,ISS-70214,Performance degradation,Landry and Sons,DataSphere,SR-84871,PROD-11384
Slow system response,Data not syncing between apps,ISS-70215,API latency,Martinez-Clark,CloudEdge,SR-83488,PROD-11780
Missing data sync,Users unable to log in after v2.3 patch,ISS-70216,Login issue post-upgrade,Howell-Lawson,CloudEdge,SR-81734,PROD-11300
Slow system response,Data not syncing between apps,ISS-70217,Login issue post-upgrade,Smith-Jones,Insight360,SR-84002,PROD-11747
Slow system response,API call fails after 30s,ISS-70218,Login issue post-upgrade,Allen PLC,CoreAnalytics,SR-80080,PROD-11131
Missing data sync,Average response time exceeds 10s,ISS-70219,Sync issue,"Weber, Lynch and Little",Insight360,SR-83059,PROD-11178
