Inventory ID,Product Name,Inventory (Units),Quantity,Inventory Location,Inventory Status,Prod_ID,Last Updated Date,Supplier Name,Reorder Threshold,Storage Condition
INV-90078,SmartEdge Router,308,98,London Hub,On Hold,PROD-11634,2025-02-12,SecureLine Distributors,12,Climate-Controlled
INV-90079,VisionX Switch,412,102,Bangalore WH,Available,PROD-11102,2025-08-04,NetWorld Partners,12,Restricted
INV-90080,StreamLine AP,187,28,Bangalore WH,Available,PROD-11178,2025-07-26,CloudWave Ltd,17,Normal
INV-90081,CloudHub Gateway,295,105,London Hub,Available,PROD-11545,2025-03-04,CloudWave Ltd,28,Climate-Controlled
INV-90082,SmartEdge Router,413,39,London Hub,Reserved,PROD-11953,2025-05-14,SecureLine Distributors,59,Climate-Controlled
INV-90083,Nova Firewall,166,89,London Hub,Reserved,PROD-11615,2025-04-03,CloudWave Ltd,42,Restricted
INV-90084,VisionX Switch,294,104,London Hub,Damaged,PROD-11531,2025-07-06,TechSource Inc,35,Climate-Controlled
INV-90085,StreamLine AP,237,197,Bangalore WH,Damaged,PROD-11935,2025-04-02,NetWorld Partners,29,Normal
INV-90086,StreamLine AP,378,60,Singapore DC,Available,PROD-11982,2025-06-17,NetWorld Partners,27,Restricted
INV-90087,VisionX Switch,364,116,Berlin DC,Damaged,PROD-11156,2025-06-24,CloudWave Ltd,23,Normal
INV-90088,VisionX Switch,411,148,London Hub,In Transit,PROD-11552,2025-02-22,TechSource Inc,40,Normal
INV-90089,Nova Firewall,246,93,New York DC,Reserved,PROD-11398,2025-05-30,CloudWave Ltd,46,Normal
INV-90090,CloudHub Gateway,476,53,London Hub,Damaged,PROD-11761,2025-08-30,GlobalNet Supplies,17,Climate-Controlled
INV-90091,Nova Firewall,214,49,New York DC,In Transit,PROD-11501,2025-04-17,CloudWave Ltd,19,Climate-Controlled
INV-90092,CloudHub Gateway,231,56,London Hub,On Hold,PROD-11358,2025-02-05,TechSource Inc,52,Restricted
INV-90093,StreamLine AP,168,148,Singapore DC,In Transit,PROD-11198,2025-07-30,TechSource Inc,19,Climate-Controlled
INV-90094,VisionX Switch,80,66,Singapore DC,On Hold,PROD-11561,2025-05-29,GlobalNet Supplies,30,Normal
INV-90095,VisionX Switch,250,158,New York DC,Available,PROD-11969,2025-08-04,SecureLine Distributors,24,Climate-Controlled
INV-90096,CloudHub Gateway,233,158,New York DC,Reserved,PROD-11681,2025-06-12,TechSource Inc,21,Restricted
INV-90097,SmartEdge Router,371,139,London Hub,Available,PROD-11923,2025-06-14,CloudWave Ltd,15,Climate-Controlled
INV-90098,Nova Firewall,490,59,Bangalore WH,Damaged,PROD-11910,2025-02-21,CloudWave Ltd,53,Climate-Controlled
INV-90099,Nova Firewall,493,184,Berlin DC,Reserved,PROD-11751,2025-07-04,CloudWave Ltd,25,Normal
INV-90100,SmartEdge Router,114,92,London Hub,Available,PROD-11278,2025-05-01,NetWorld Partners,32,Normal
INV-90101,SmartEdge Router,136,71,London Hub,Available,PROD-11035,2025-02-13,CloudWave Ltd,26,Climate-Controlled
INV-90102,Nova Firewall,162,77,Bangalore WH,Reserved,PROD-11639,2025-05-07,GlobalNet Supplies,10,Restricted
INV-90103,StreamLine AP,492,171,New York DC,In Transit,PROD-11004,2025-06-29,GlobalNet Supplies,59,Restricted
INV-90104,CloudHub Gateway,476,144,London Hub,Available,PROD-11348,2025-05-24,GlobalNet Supplies,37,Climate-Controlled
INV-90105,VisionX Switch,313,29,New York DC,Reserved,PROD-11805,2025-05-11,CloudWave Ltd,47,Restricted
INV-90106,VisionX Switch,324,146,Bangalore WH,Reserved,PROD-11242,2025-02-05,SecureLine Distributors,19,Normal
INV-90107,Nova Firewall,335,61,Berlin DC,On Hold,PROD-11065,2025-07-29,NetWorld Partners,17,Climate-Controlled
INV-90108,SmartEdge Router,470,152,New York DC,On Hold,PROD-11065,2025-07-17,SecureLine Distributors,40,Restricted
INV-90109,CloudHub Gateway,159,159,London Hub,Damaged,PROD-11293,2025-08-24,NetWorld Partners,41,Normal
INV-90110,CloudHub Gateway,86,198,New York DC,On Hold,PROD-11031,2025-05-26,CloudWave Ltd,20,Restricted
INV-90111,StreamLine AP,336,116,New York DC,Available,PROD-11929,2025-01-30,NetWorld Partners,59,Restricted
INV-90112,CloudHub Gateway,495,13,London Hub,Reserved,PROD-11479,2025-05-20,CloudWave Ltd,23,Climate-Controlled
INV-90113,SmartEdge Router,407,161,Bangalore WH,In Transit,PROD-11933,2025-06-27,CloudWave Ltd,21,Normal
INV-90114,CloudHub Gateway,452,58,New York DC,In Transit,PROD-11114,2025-08-28,SecureLine Distributors,55,Restricted
INV-90115,VisionX Switch,332,47,Singapore DC,On Hold,PROD-11176,2025-04-11,NetWorld Partners,24,Restricted
INV-90116,SmartEdge Router,371,38,Singapore DC,On Hold,PROD-11600,2025-01-10,NetWorld Partners,59,Climate-Controlled
INV-90117,CloudHub Gateway,124,136,Bangalore WH,Damaged,PROD-11071,2025-04-22,NetWorld Partners,10,Climate-Controlled
INV-90118,CloudHub Gateway,446,58,Bangalore WH,In Transit,PROD-11362,2025-02-08,NetWorld Partners,23,Climate-Controlled
INV-90119,VisionX Switch,57,176,Bangalore WH,Available,PROD-11655,2025-08-19,SecureLine Distributors,27,Normal
INV-90120,SmartEdge Router,119,76,Bangalore WH,Reserved,PROD-11246,2025-06-29,CloudWave Ltd,18,Climate-Controlled
INV-90121,StreamLine AP,328,191,Singapore DC,On Hold,PROD-11095,2025-08-11,SecureLine Distributors,59,Climate-Controlled
INV-90122,Nova Firewall,170,137,New York DC,Available,PROD-11061,2025-08-03,TechSource Inc,37,Climate-Controlled
INV-90123,CloudHub Gateway,96,53,Bangalore WH,Reserved,PROD-11369,2025-01-11,SecureLine Distributors,37,Restricted
INV-90124,SmartEdge Router,339,130,New York DC,On Hold,PROD-11045,2025-06-06,TechSource Inc,32,Restricted
INV-90125,CloudHub Gateway,299,151,Berlin DC,Reserved,PROD-11081,2025-03-25,GlobalNet Supplies,50,Restricted
INV-90126,CloudHub Gateway,246,84,Berlin DC,In Transit,PROD-11846,2025-03-23,CloudWave Ltd,13,Normal
INV-90127,StreamLine AP,35,35,Bangalore WH,Available,PROD-11452,2025-03-20,CloudWave Ltd,26,Restricted
INV-90128,SmartEdge Router,90,19,Berlin DC,In Transit,PROD-11155,2025-04-03,NetWorld Partners,15,Restricted
INV-90129,StreamLine AP,328,185,Singapore DC,In Transit,PROD-11077,2025-03-17,SecureLine Distributors,35,Normal
INV-90130,VisionX Switch,123,106,Singapore DC,Damaged,PROD-11373,2025-05-13,CloudWave Ltd,28,Restricted
INV-90131,CloudHub Gateway,11,44,Bangalore WH,In Transit,PROD-11584,2025-04-13,CloudWave Ltd,35,Restricted
INV-90132,Nova Firewall,269,73,New York DC,Damaged,PROD-11228,2025-05-06,SecureLine Distributors,54,Normal
INV-90133,VisionX Switch,32,118,Berlin DC,In Transit,PROD-11250,2025-08-22,NetWorld Partners,34,Restricted
INV-90134,VisionX Switch,222,58,Berlin DC,Reserved,PROD-11611,2025-08-27,GlobalNet Supplies,46,Climate-Controlled
INV-90135,Nova Firewall,452,101,London Hub,Damaged,PROD-11188,2025-02-14,GlobalNet Supplies,10,Climate-Controlled
INV-90136,VisionX Switch,80,136,Berlin DC,Reserved,PROD-11843,2025-05-05,TechSource Inc,46,Climate-Controlled
INV-90137,VisionX Switch,376,97,Berlin DC,In Transit,PROD-11131,2025-06-30,GlobalNet Supplies,48,Restricted
INV-90138,StreamLine AP,431,153,Singapore DC,Reserved,PROD-11626,2025-03-18,TechSource Inc,41,Normal
INV-90139,VisionX Switch,366,139,London Hub,In Transit,PROD-11427,2025-03-17,CloudWave Ltd,43,Normal
INV-90140,CloudHub Gateway,288,127,Bangalore WH,Reserved,PROD-11076,2025-08-18,NetWorld Partners,37,Normal
INV-90141,StreamLine AP,488,121,Singapore DC,Damaged,PROD-11816,2025-02-23,TechSource Inc,34,Climate-Controlled
INV-90142,Nova Firewall,318,144,Singapore DC,Available,PROD-11869,2025-08-13,GlobalNet Supplies,48,Climate-Controlled
INV-90143,CloudHub Gateway,76,198,Berlin DC,Damaged,PROD-11147,2025-07-10,GlobalNet Supplies,33,Restricted
INV-90144,CloudHub Gateway,13,8,New York DC,On Hold,PROD-11852,2025-01-10,NetWorld Partners,37,Climate-Controlled
INV-90145,StreamLine AP,14,19,Bangalore WH,On Hold,PROD-11510,2025-06-03,TechSource Inc,45,Restricted
INV-90146,Nova Firewall,45,157,Berlin DC,Damaged,PROD-11124,2025-05-13,CloudWave Ltd,35,Normal
INV-90147,CloudHub Gateway,162,2,New York DC,Reserved,PROD-11602,2025-05-25,CloudWave Ltd,11,Normal
INV-90148,StreamLine AP,440,20,London Hub,On Hold,PROD-11763,2025-07-03,CloudWave Ltd,20,Climate-Controlled
INV-90149,Nova Firewall,411,174,London Hub,Available,PROD-11976,2025-08-01,SecureLine Distributors,20,Normal
INV-90150,SmartEdge Router,262,110,Berlin DC,On Hold,PROD-11359,2025-07-19,TechSource Inc,41,Climate-Controlled
INV-90151,SmartEdge Router,479,91,Berlin DC,Available,PROD-11373,2025-08-03,TechSource Inc,29,Restricted
INV-90152,CloudHub Gateway,255,46,New York DC,Damaged,PROD-11569,2025-02-01,TechSource Inc,25,Normal
INV-90153,Nova Firewall,226,25,Singapore DC,In Transit,PROD-11638,2025-07-27,GlobalNet Supplies,23,Restricted
INV-90154,StreamLine AP,103,26,Berlin DC,In Transit,PROD-11941,2025-08-01,SecureLine Distributors,39,Restricted
INV-90155,Nova Firewall,74,139,New York DC,On Hold,PROD-11047,2025-02-09,SecureLine Distributors,56,Normal
INV-90156,SmartEdge Router,292,179,Berlin DC,Damaged,PROD-11316,2025-08-07,SecureLine Distributors,31,Climate-Controlled
INV-90157,VisionX Switch,262,199,New York DC,On Hold,PROD-11958,2025-01-20,NetWorld Partners,38,Normal
INV-90158,StreamLine AP,99,18,Singapore DC,On Hold,PROD-11399,2025-03-31,SecureLine Distributors,60,Restricted
INV-90159,StreamLine AP,389,41,New York DC,Available,PROD-11007,2025-03-04,TechSource Inc,42,Normal
INV-90160,Nova Firewall,16,69,New York DC,On Hold,PROD-11634,2025-04-13,NetWorld Partners,59,Normal
INV-90161,VisionX Switch,350,0,London Hub,On Hold,PROD-11600,2025-08-30,GlobalNet Supplies,39,Restricted
INV-90162,SmartEdge Router,404,27,Berlin DC,On Hold,PROD-11550,2025-02-03,SecureLine Distributors,23,Normal
INV-90163,StreamLine AP,332,88,Bangalore WH,Damaged,PROD-11846,2025-07-01,NetWorld Partners,39,Restricted
INV-90164,Nova Firewall,21,60,Berlin DC,Reserved,PROD-11119,2025-01-11,CloudWave Ltd,16,Climate-Controlled
INV-90165,CloudHub Gateway,396,99,New York DC,Reserved,PROD-11682,2025-04-18,TechSource Inc,23,Climate-Controlled
INV-90166,Nova Firewall,244,5,Berlin DC,On Hold,PROD-11459,2025-03-10,CloudWave Ltd,39,Normal
INV-90167,VisionX Switch,212,54,London Hub,Reserved,PROD-11075,2025-07-25,GlobalNet Supplies,50,Normal
INV-90168,SmartEdge Router,60,27,London Hub,Reserved,PROD-11414,2025-06-22,GlobalNet Supplies,57,Climate-Controlled
INV-90169,SmartEdge Router,44,10,Berlin DC,On Hold,PROD-11175,2025-05-08,TechSource Inc,31,Climate-Controlled
INV-90170,SmartEdge Router,137,195,Berlin DC,Damaged,PROD-11774,2025-06-14,CloudWave Ltd,53,Normal
INV-90171,SmartEdge Router,312,170,London Hub,In Transit,PROD-11293,2025-04-08,NetWorld Partners,18,Normal
INV-90172,StreamLine AP,409,198,Berlin DC,On Hold,PROD-11930,2025-03-08,CloudWave Ltd,40,Climate-Controlled
INV-90173,StreamLine AP,60,138,Singapore DC,In Transit,PROD-11207,2025-01-31,GlobalNet Supplies,14,Climate-Controlled
INV-90174,StreamLine AP,290,74,Berlin DC,Reserved,PROD-11288,2025-04-09,NetWorld Partners,37,Restricted
INV-90175,StreamLine AP,475,134,Berlin DC,Damaged,PROD-11109,2025-05-01,CloudWave Ltd,22,Climate-Controlled
INV-90176,SmartEdge Router,82,184,New York DC,Damaged,PROD-11838,2025-01-14,SecureLine Distributors,50,Climate-Controlled
INV-90177,CloudHub Gateway,330,108,London Hub,In Transit,PROD-11815,2025-03-22,GlobalNet Supplies,59,Climate-Controlled
INV-90178,SmartEdge Router,256,194,London Hub,In Transit,PROD-11185,2025-01-11,SecureLine Distributors,50,Restricted
INV-90179,VisionX Switch,206,153,Singapore DC,Damaged,PROD-11318,2025-07-19,SecureLine Distributors,38,Climate-Controlled
INV-90180,Nova Firewall,408,173,New York DC,Available,PROD-11957,2025-03-21,CloudWave Ltd,29,Normal
INV-90181,StreamLine AP,45,21,Singapore DC,On Hold,PROD-11697,2025-02-19,CloudWave Ltd,47,Climate-Controlled
INV-90182,Nova Firewall,185,170,Berlin DC,In Transit,PROD-11970,2025-06-21,CloudWave Ltd,12,Normal
INV-90183,StreamLine AP,249,143,Bangalore WH,Available,PROD-11633,2025-06-15,SecureLine Distributors,47,Normal
INV-90184,CloudHub Gateway,495,125,Bangalore WH,Available,PROD-11895,2025-07-23,CloudWave Ltd,48,Normal
INV-90185,CloudHub Gateway,443,128,New York DC,Available,PROD-11913,2025-03-18,GlobalNet Supplies,25,Restricted
INV-90186,VisionX Switch,85,53,New York DC,In Transit,PROD-11183,2025-02-28,CloudWave Ltd,35,Restricted
INV-90187,SmartEdge Router,397,62,Berlin DC,Available,PROD-11748,2025-02-01,GlobalNet Supplies,53,Climate-Controlled
INV-90188,CloudHub Gateway,113,70,Singapore DC,Available,PROD-11559,2025-05-03,NetWorld Partners,27,Restricted
INV-90189,SmartEdge Router,495,5,Berlin DC,Reserved,PROD-11072,2025-04-16,GlobalNet Supplies,33,Climate-Controlled
INV-90190,CloudHub Gateway,421,142,Berlin DC,Available,PROD-11121,2025-01-18,CloudWave Ltd,42,Normal
INV-90191,CloudHub Gateway,401,140,Berlin DC,Available,PROD-11797,2025-05-08,GlobalNet Supplies,53,Restricted
INV-90192,CloudHub Gateway,415,50,New York DC,Damaged,PROD-11706,2025-01-05,TechSource Inc,31,Restricted
INV-90193,SmartEdge Router,103,80,London Hub,Available,PROD-11711,2025-06-11,TechSource Inc,45,Climate-Controlled
INV-90194,CloudHub Gateway,18,136,New York DC,In Transit,PROD-11752,2025-05-28,CloudWave Ltd,35,Restricted
INV-90195,CloudHub Gateway,481,178,Singapore DC,Damaged,PROD-11063,2025-01-14,NetWorld Partners,17,Climate-Controlled
INV-90196,StreamLine AP,343,102,Singapore DC,On Hold,PROD-11817,2025-01-17,NetWorld Partners,56,Normal
INV-90197,StreamLine AP,352,124,Singapore DC,Reserved,PROD-11782,2025-03-27,SecureLine Distributors,24,Normal
INV-90198,SmartEdge Router,48,177,Singapore DC,Reserved,PROD-11997,2025-01-01,NetWorld Partners,19,Climate-Controlled
INV-90199,CloudHub Gateway,130,76,London Hub,On Hold,PROD-11587,2025-02-04,NetWorld Partners,54,Restricted
INV-90200,VisionX Switch,316,26,Berlin DC,In Transit,PROD-11590,2025-07-23,SecureLine Distributors,19,Normal
INV-90201,StreamLine AP,390,3,Singapore DC,Reserved,PROD-11747,2025-03-27,GlobalNet Supplies,55,Normal
INV-90202,SmartEdge Router,371,133,New York DC,Reserved,PROD-11035,2025-07-20,NetWorld Partners,13,Normal
INV-90203,Nova Firewall,248,65,New York DC,Reserved,PROD-11272,2025-06-09,SecureLine Distributors,48,Climate-Controlled
INV-90204,CloudHub Gateway,478,14,London Hub,Damaged,PROD-11292,2025-04-05,SecureLine Distributors,18,Restricted
INV-90205,CloudHub Gateway,208,164,Berlin DC,Reserved,PROD-11106,2025-05-13,TechSource Inc,25,Normal
INV-90206,CloudHub Gateway,172,97,Bangalore WH,Reserved,PROD-11515,2025-07-12,TechSource Inc,27,Climate-Controlled
INV-90207,StreamLine AP,118,41,London Hub,Available,PROD-11419,2025-06-01,GlobalNet Supplies,50,Normal
INV-90208,StreamLine AP,422,73,Bangalore WH,In Transit,PROD-11831,2025-05-02,TechSource Inc,26,Climate-Controlled
INV-90209,SmartEdge Router,468,71,New York DC,On Hold,PROD-11693,2025-05-20,CloudWave Ltd,12,Normal
INV-90210,StreamLine AP,47,151,London Hub,On Hold,PROD-11828,2025-07-02,GlobalNet Supplies,12,Climate-Controlled
INV-90211,StreamLine AP,86,97,Berlin DC,Available,PROD-11213,2025-05-05,CloudWave Ltd,52,Restricted
INV-90212,CloudHub Gateway,88,133,Berlin DC,Available,PROD-11813,2025-05-16,GlobalNet Supplies,38,Normal
INV-90213,Nova Firewall,93,161,New York DC,Reserved,PROD-11600,2025-03-30,SecureLine Distributors,34,Normal
INV-90214,Nova Firewall,238,68,Bangalore WH,Damaged,PROD-11787,2025-06-26,GlobalNet Supplies,42,Normal
INV-90215,SmartEdge Router,345,194,New York DC,On Hold,PROD-11183,2025-02-13,GlobalNet Supplies,28,Normal
INV-90216,VisionX Switch,442,44,Singapore DC,Reserved,PROD-11055,2025-02-18,SecureLine Distributors,24,Climate-Controlled
INV-90217,VisionX Switch,188,140,London Hub,Available,PROD-11410,2025-04-15,SecureLine Distributors,20,Climate-Controlled
INV-90218,VisionX Switch,172,51,Berlin DC,Available,PROD-11081,2025-08-21,NetWorld Partners,32,Restricted
INV-90219,SmartEdge Router,22,159,Singapore DC,In Transit,PROD-11362,2025-07-16,CloudWave Ltd,34,Climate-Controlled
INV-90220,Nova Firewall,153,110,Berlin DC,In Transit,PROD-11571,2025-08-11,CloudWave Ltd,11,Restricted
INV-90221,StreamLine AP,443,195,Bangalore WH,Available,PROD-11668,2025-01-25,NetWorld Partners,23,Restricted
INV-90222,StreamLine AP,365,115,London Hub,Reserved,PROD-11480,2025-08-20,TechSource Inc,43,Climate-Controlled
INV-90223,SmartEdge Router,69,189,Singapore DC,Damaged,PROD-11116,2025-03-10,GlobalNet Supplies,28,Climate-Controlled
INV-90224,Nova Firewall,180,94,Singapore DC,On Hold,PROD-11051,2025-04-25,CloudWave Ltd,52,Climate-Controlled
INV-90225,CloudHub Gateway,275,117,Bangalore WH,On Hold,PROD-11878,2025-07-23,GlobalNet Supplies,40,Restricted
