Logistics ID,Product Name,Order Date,Order Status,Fulfilment Date,Delivery Date,Delivery Status,Consignment Location,Cust_ID,Od_Contract_ID
LOG-80017,VisionX Switch,2025-08-21,Confirmed,2025-05-07,2025-07-18,Pending,London DC,CUST-10995,ORD-44333
LOG-80018,SmartEdge Router,2025-03-21,Confirmed,2025-06-18,2025-01-15,Returned,London DC,CUST-10558,ORD-40854
LOG-80019,StreamLine AP,2025-08-08,Shipped,2025-07-01,2025-06-16,Out for Delivery,New York DC,CUST-10555,ORD-41922
LOG-80020,Nova Firewall,2025-07-23,Delivered,2025-03-19,2025-08-30,In Transit,London DC,CUST-10677,ORD-44550
LOG-80021,VisionX Switch,2025-03-13,Confirmed,2025-04-10,2025-07-25,Pending,Bangalore WH,CUST-10733,ORD-44960
LOG-80022,Nova Firewall,2025-05-25,Shipped,2025-05-01,2025-07-02,Out for Delivery,Singapore WH,CUST-10652,ORD-40668
LOG-80023,CloudHub Gateway,2025-07-28,Delivered,2025-01-12,2025-06-19,Out for Delivery,Bangalore WH,CUST-10021,ORD-40141
LOG-80024,CloudHub Gateway,2025-02-07,In Progress,2025-01-11,2025-01-27,Returned,Bangalore WH,CUST-10412,ORD-43047
LOG-80025,StreamLine AP,2025-03-24,In Progress,2025-07-11,2025-07-25,Pending,Berlin Hub,CUST-10222,ORD-41748
LOG-80026,CloudHub Gateway,2025-06-05,Confirmed,2025-03-23,2025-01-13,Delivered,New York DC,CUST-10092,ORD-43958
LOG-80027,VisionX Switch,2025-08-13,Shipped,2025-03-14,2025-03-13,In Transit,Singapore WH,CUST-10715,ORD-42455
LOG-80028,SmartEdge Router,2025-07-14,Confirmed,2025-08-25,2025-04-05,Pending,Berlin Hub,CUST-10022,ORD-43395
LOG-80029,Nova Firewall,2025-04-23,In Progress,2025-07-26,2025-01-17,Out for Delivery,Bangalore WH,CUST-10196,ORD-44921
LOG-80030,Nova Firewall,2025-02-27,In Progress,2025-05-10,2025-02-10,Delivered,Singapore WH,CUST-10522,ORD-40956
LOG-80031,CloudHub Gateway,2025-05-14,Delivered,2025-08-16,2025-02-24,Returned,Singapore WH,CUST-10607,ORD-43110
LOG-80032,SmartEdge Router,2025-03-07,Confirmed,2025-04-05,2025-07-31,Out for Delivery,Bangalore WH,CUST-10178,ORD-43731
LOG-80033,StreamLine AP,2025-05-30,Delivered,2025-03-10,2025-01-13,Pending,Berlin Hub,CUST-10371,ORD-44543
LOG-80034,SmartEdge Router,2025-02-08,Delivered,2025-07-29,2025-01-24,Out for Delivery,London DC,CUST-10106,ORD-42653
LOG-80035,Nova Firewall,2025-02-27,Confirmed,2025-04-05,2025-08-16,Pending,Singapore WH,CUST-10190,ORD-43023
LOG-80036,VisionX Switch,2025-07-09,In Progress,2025-06-28,2025-06-26,Delivered,New York DC,CUST-10909,ORD-44114
LOG-80037,SmartEdge Router,2025-03-25,In Progress,2025-04-14,2025-05-10,Returned,London DC,CUST-10079,ORD-41988
LOG-80038,SmartEdge Router,2025-06-14,In Progress,2025-04-16,2025-08-25,In Transit,New York DC,CUST-10454,ORD-40607
LOG-80039,CloudHub Gateway,2025-03-13,In Progress,2025-05-18,2025-07-07,Pending,London DC,CUST-10370,ORD-41565
LOG-80040,VisionX Switch,2025-04-21,In Progress,2025-06-13,2025-02-18,Returned,Berlin Hub,CUST-10423,ORD-43099
LOG-80041,Nova Firewall,2025-08-19,Delivered,2025-06-23,2025-03-12,Pending,Singapore WH,CUST-10128,ORD-44434
LOG-80042,VisionX Switch,2025-01-14,Confirmed,2025-05-23,2025-04-07,Out for Delivery,London DC,CUST-10291,ORD-40192
LOG-80043,SmartEdge Router,2025-02-08,Shipped,2025-06-13,2025-01-16,Pending,Bangalore WH,CUST-10164,ORD-43794
LOG-80044,StreamLine AP,2025-04-30,In Progress,2025-08-09,2025-04-26,Out for Delivery,Berlin Hub,CUST-10618,ORD-40415
LOG-80045,SmartEdge Router,2025-06-13,Confirmed,2025-02-14,2025-07-17,Pending,New York DC,CUST-10445,ORD-41128
LOG-80046,VisionX Switch,2025-04-28,Confirmed,2025-03-17,2025-08-18,Out for Delivery,Berlin Hub,CUST-10058,ORD-42634
LOG-80047,StreamLine AP,2025-07-02,Cancelled,2025-05-24,2025-03-22,Delivered,Bangalore WH,CUST-10234,ORD-41048
LOG-80048,Nova Firewall,2025-05-03,Delivered,2025-07-10,2025-08-01,Returned,Singapore WH,CUST-10760,ORD-40248
LOG-80049,Nova Firewall,2025-02-08,Cancelled,2025-03-13,2025-01-05,In Transit,London DC,CUST-10763,ORD-40272
LOG-80050,StreamLine AP,2025-03-17,Cancelled,2025-07-27,2025-03-07,Returned,Bangalore WH,CUST-10714,ORD-40988
LOG-80051,CloudHub Gateway,2025-01-03,Shipped,2025-01-05,2025-06-16,Out for Delivery,Singapore WH,CUST-10433,ORD-44528
LOG-80052,VisionX Switch,2025-06-06,Cancelled,2025-08-07,2025-07-01,Delivered,Singapore WH,CUST-10787,ORD-43087
LOG-80053,Nova Firewall,2025-05-07,Delivered,2025-03-10,2025-03-25,Returned,London DC,CUST-10123,ORD-42873
LOG-80054,StreamLine AP,2025-01-19,Delivered,2025-08-06,2025-08-10,Pending,Singapore WH,CUST-10180,ORD-40365
LOG-80055,SmartEdge Router,2025-01-05,Shipped,2025-01-22,2025-07-03,In Transit,Singapore WH,CUST-10467,ORD-42045
LOG-80056,Nova Firewall,2025-01-09,Cancelled,2025-03-27,2025-01-25,Delivered,London DC,CUST-10195,ORD-42862
LOG-80057,Nova Firewall,2025-02-21,Shipped,2025-05-11,2025-01-13,Pending,Berlin Hub,CUST-10246,ORD-44177
LOG-80058,SmartEdge Router,2025-05-22,Delivered,2025-02-23,2025-08-14,Delivered,London DC,CUST-10562,ORD-41855
LOG-80059,Nova Firewall,2025-08-10,Cancelled,2025-07-31,2025-07-29,Pending,Bangalore WH,CUST-10719,ORD-43448
LOG-80060,CloudHub Gateway,2025-03-14,Shipped,2025-04-24,2025-05-03,Delivered,London DC,CUST-10926,ORD-43561
LOG-80061,SmartEdge Router,2025-04-08,Shipped,2025-02-21,2025-03-18,Returned,Bangalore WH,CUST-10569,ORD-41822
LOG-80062,StreamLine AP,2025-03-18,Shipped,2025-06-25,2025-01-14,Returned,New York DC,CUST-10258,ORD-41814
LOG-80063,Nova Firewall,2025-06-16,Cancelled,2025-07-25,2025-07-08,Returned,Berlin Hub,CUST-10901,ORD-40377
LOG-80064,SmartEdge Router,2025-07-16,Delivered,2025-07-31,2025-06-27,Delivered,New York DC,CUST-10432,ORD-42890
LOG-80065,CloudHub Gateway,2025-02-24,Confirmed,2025-01-02,2025-05-10,Pending,London DC,CUST-10273,ORD-40809
LOG-80066,SmartEdge Router,2025-03-22,Shipped,2025-07-25,2025-04-14,Returned,Berlin Hub,CUST-10868,ORD-44190
LOG-80067,SmartEdge Router,2025-08-23,Confirmed,2025-08-13,2025-02-20,Returned,Bangalore WH,CUST-10495,ORD-40189
LOG-80068,VisionX Switch,2025-05-10,Cancelled,2025-07-06,2025-08-08,Pending,New York DC,CUST-10646,ORD-40481
LOG-80069,SmartEdge Router,2025-08-17,In Progress,2025-08-01,2025-02-09,Out for Delivery,Berlin Hub,CUST-10011,ORD-42724
LOG-80070,SmartEdge Router,2025-03-27,In Progress,2025-08-10,2025-06-16,Delivered,Singapore WH,CUST-10311,ORD-41572
LOG-80071,SmartEdge Router,2025-05-12,Delivered,2025-02-14,2025-08-10,Out for Delivery,Berlin Hub,CUST-10430,ORD-43396
LOG-80072,StreamLine AP,2025-05-08,Confirmed,2025-03-20,2025-07-20,Pending,New York DC,CUST-10627,ORD-43975
LOG-80073,Nova Firewall,2025-03-06,Delivered,2025-08-10,2025-08-27,Returned,New York DC,CUST-10406,ORD-40536
LOG-80074,VisionX Switch,2025-08-13,Confirmed,2025-03-14,2025-04-19,In Transit,Berlin Hub,CUST-10636,ORD-42574
LOG-80075,StreamLine AP,2025-05-30,Delivered,2025-04-18,2025-04-01,Returned,Berlin Hub,CUST-10505,ORD-40668
LOG-80076,Nova Firewall,2025-01-11,Shipped,2025-05-09,2025-07-09,Delivered,Berlin Hub,CUST-10707,ORD-43736
LOG-80077,StreamLine AP,2025-08-30,Confirmed,2025-03-07,2025-08-11,Out for Delivery,New York DC,CUST-10264,ORD-44967
LOG-80078,CloudHub Gateway,2025-07-09,In Progress,2025-06-09,2025-04-24,Out for Delivery,Berlin Hub,CUST-10299,ORD-43750
LOG-80079,StreamLine AP,2025-08-13,Cancelled,2025-05-23,2025-08-02,Pending,Berlin Hub,CUST-10306,ORD-43267
LOG-80080,VisionX Switch,2025-03-27,Cancelled,2025-04-02,2025-03-01,In Transit,Berlin Hub,CUST-10668,ORD-42245
LOG-80081,VisionX Switch,2025-05-19,Confirmed,2025-08-16,2025-01-23,Out for Delivery,Bangalore WH,CUST-10852,ORD-43466
LOG-80082,StreamLine AP,2025-04-15,Shipped,2025-05-27,2025-03-02,Out for Delivery,Bangalore WH,CUST-10139,ORD-44419
LOG-80083,VisionX Switch,2025-05-17,Delivered,2025-04-25,2025-05-03,In Transit,New York DC,CUST-10486,ORD-42562
LOG-80084,StreamLine AP,2025-05-09,Delivered,2025-07-13,2025-05-05,Out for Delivery,London DC,CUST-10352,ORD-40551
LOG-80085,CloudHub Gateway,2025-02-26,In Progress,2025-08-30,2025-05-28,Pending,Singapore WH,CUST-10782,ORD-44996
LOG-80086,Nova Firewall,2025-04-04,Shipped,2025-02-08,2025-03-31,Delivered,New York DC,CUST-10858,ORD-42242
LOG-80087,SmartEdge Router,2025-07-19,Confirmed,2025-01-06,2025-03-30,Out for Delivery,London DC,CUST-10796,ORD-41819
LOG-80088,SmartEdge Router,2025-05-21,In Progress,2025-02-14,2025-07-20,Delivered,New York DC,CUST-10293,ORD-43351
LOG-80089,StreamLine AP,2025-05-29,Confirmed,2025-01-30,2025-01-31,Returned,London DC,CUST-10892,ORD-44871
LOG-80090,Nova Firewall,2025-03-20,Shipped,2025-05-13,2025-03-30,Delivered,Berlin Hub,CUST-10901,ORD-41379
LOG-80091,CloudHub Gateway,2025-05-30,In Progress,2025-03-18,2025-02-09,Delivered,Bangalore WH,CUST-10711,ORD-44187
LOG-80092,CloudHub Gateway,2025-01-19,In Progress,2025-04-08,2025-04-02,Returned,Singapore WH,CUST-10587,ORD-42522
LOG-80093,SmartEdge Router,2025-07-04,In Progress,2025-03-18,2025-08-27,In Transit,Bangalore WH,CUST-10719,ORD-41172
LOG-80094,SmartEdge Router,2025-05-24,Delivered,2025-06-16,2025-06-29,Pending,Berlin Hub,CUST-10355,ORD-40637
LOG-80095,CloudHub Gateway,2025-08-09,Delivered,2025-01-20,2025-01-16,In Transit,Bangalore WH,CUST-10922,ORD-42970
LOG-80096,Nova Firewall,2025-07-05,In Progress,2025-02-12,2025-05-08,Out for Delivery,Singapore WH,CUST-10256,ORD-44207
LOG-80097,CloudHub Gateway,2025-07-01,Cancelled,2025-03-29,2025-07-21,Pending,Bangalore WH,CUST-10132,ORD-43478
LOG-80098,Nova Firewall,2025-05-06,In Progress,2025-03-18,2025-03-17,Returned,Singapore WH,CUST-10858,ORD-44495
LOG-80099,Nova Firewall,2025-08-21,Delivered,2025-07-23,2025-03-19,Returned,New York DC,CUST-10132,ORD-42559
LOG-80100,CloudHub Gateway,2025-07-28,Cancelled,2025-08-01,2025-08-03,Pending,New York DC,CUST-10309,ORD-41751
LOG-80101,StreamLine AP,2025-03-15,Shipped,2025-07-01,2025-08-22,Returned,London DC,CUST-10037,ORD-44258
LOG-80102,VisionX Switch,2025-08-19,Confirmed,2025-05-12,2025-05-15,In Transit,Berlin Hub,CUST-10628,ORD-40688
LOG-80103,CloudHub Gateway,2025-06-28,Delivered,2025-03-30,2025-01-10,Pending,Singapore WH,CUST-10463,ORD-43600
LOG-80104,Nova Firewall,2025-06-09,Cancelled,2025-08-05,2025-07-11,Delivered,New York DC,CUST-10978,ORD-42836
LOG-80105,SmartEdge Router,2025-01-27,Shipped,2025-04-19,2025-03-29,Pending,London DC,CUST-10008,ORD-43230
LOG-80106,StreamLine AP,2025-02-24,Cancelled,2025-08-27,2025-04-16,Out for Delivery,New York DC,CUST-10401,ORD-40203
LOG-80107,VisionX Switch,2025-04-17,Delivered,2025-08-18,2025-02-08,Out for Delivery,Berlin Hub,CUST-10014,ORD-43844
LOG-80108,StreamLine AP,2025-01-25,Shipped,2025-07-24,2025-01-06,In Transit,New York DC,CUST-10409,ORD-44694
LOG-80109,CloudHub Gateway,2025-03-03,Confirmed,2025-04-05,2025-02-27,Pending,Bangalore WH,CUST-10601,ORD-41629
LOG-80110,Nova Firewall,2025-08-16,Cancelled,2025-01-27,2025-02-01,Pending,Singapore WH,CUST-10060,ORD-44059
LOG-80111,CloudHub Gateway,2025-03-26,Shipped,2025-03-19,2025-03-25,Returned,Singapore WH,CUST-10816,ORD-43611
LOG-80112,SmartEdge Router,2025-08-02,Shipped,2025-07-20,2025-06-30,Returned,Bangalore WH,CUST-10594,ORD-42837
LOG-80113,Nova Firewall,2025-03-31,Delivered,2025-04-26,2025-07-03,Delivered,Bangalore WH,CUST-10873,ORD-40194
LOG-80114,CloudHub Gateway,2025-07-10,Cancelled,2025-01-28,2025-03-17,In Transit,Berlin Hub,CUST-10347,ORD-43131
LOG-80115,StreamLine AP,2025-02-13,In Progress,2025-05-17,2025-08-16,Delivered,New York DC,CUST-10045,ORD-41158
LOG-80116,VisionX Switch,2025-08-31,Cancelled,2025-01-09,2025-02-10,Delivered,New York DC,CUST-10654,ORD-43713
LOG-80117,Nova Firewall,2025-07-29,Confirmed,2025-07-15,2025-07-01,Out for Delivery,Singapore WH,CUST-10872,ORD-40646
LOG-80118,CloudHub Gateway,2025-08-06,Delivered,2025-06-21,2025-01-13,Out for Delivery,London DC,CUST-10231,ORD-43996
LOG-80119,SmartEdge Router,2025-02-09,Confirmed,2025-04-07,2025-02-21,Out for Delivery,London DC,CUST-10290,ORD-42818
LOG-80120,VisionX Switch,2025-01-16,In Progress,2025-02-20,2025-02-26,Delivered,Berlin Hub,CUST-10597,ORD-42474
LOG-80121,StreamLine AP,2025-01-28,Confirmed,2025-01-01,2025-05-02,Pending,Singapore WH,CUST-10523,ORD-43268
LOG-80122,CloudHub Gateway,2025-07-01,Confirmed,2025-02-16,2025-06-07,Out for Delivery,New York DC,CUST-10652,ORD-44540
LOG-80123,VisionX Switch,2025-08-03,Cancelled,2025-05-23,2025-03-31,Out for Delivery,Bangalore WH,CUST-10563,ORD-42697
LOG-80124,CloudHub Gateway,2025-06-12,Delivered,2025-03-04,2025-08-13,Pending,London DC,CUST-10503,ORD-40538
LOG-80125,Nova Firewall,2025-07-27,Confirmed,2025-08-25,2025-07-31,Pending,Bangalore WH,CUST-10391,ORD-40230
LOG-80126,SmartEdge Router,2025-08-17,Confirmed,2025-01-28,2025-04-13,Delivered,New York DC,CUST-10283,ORD-41209
LOG-80127,VisionX Switch,2025-08-02,Cancelled,2025-01-15,2025-08-27,In Transit,Bangalore WH,CUST-10102,ORD-42195
LOG-80128,StreamLine AP,2025-01-09,Confirmed,2025-06-09,2025-06-28,Returned,Berlin Hub,CUST-10543,ORD-42388
LOG-80129,StreamLine AP,2025-05-09,In Progress,2025-08-25,2025-07-06,Delivered,Singapore WH,CUST-10745,ORD-43085
LOG-80130,Nova Firewall,2025-07-19,Confirmed,2025-02-14,2025-07-30,Out for Delivery,New York DC,CUST-10693,ORD-41188
LOG-80131,SmartEdge Router,2025-04-11,Delivered,2025-06-23,2025-01-18,Delivered,Singapore WH,CUST-10885,ORD-42413
LOG-80132,CloudHub Gateway,2025-08-21,Confirmed,2025-01-18,2025-03-20,Pending,London DC,CUST-10137,ORD-40165
LOG-80133,CloudHub Gateway,2025-07-08,Shipped,2025-02-09,2025-01-20,Out for Delivery,Bangalore WH,CUST-10588,ORD-40157
LOG-80134,CloudHub Gateway,2025-06-26,Cancelled,2025-07-13,2025-05-26,Delivered,London DC,CUST-10012,ORD-41938
LOG-80135,VisionX Switch,2025-06-16,Confirmed,2025-05-01,2025-02-20,Delivered,Berlin Hub,CUST-10749,ORD-41995
LOG-80136,SmartEdge Router,2025-02-07,Shipped,2025-04-29,2025-07-15,In Transit,London DC,CUST-10498,ORD-43285
LOG-80137,VisionX Switch,2025-05-09,In Progress,2025-06-06,2025-05-13,Pending,Bangalore WH,CUST-10292,ORD-43755
LOG-80138,VisionX Switch,2025-08-25,In Progress,2025-02-12,2025-06-04,Delivered,Berlin Hub,CUST-10664,ORD-43809
LOG-80139,VisionX Switch,2025-04-17,Confirmed,2025-03-15,2025-06-28,In Transit,Singapore WH,CUST-10407,ORD-41808
LOG-80140,CloudHub Gateway,2025-03-07,Confirmed,2025-04-28,2025-03-28,Pending,Singapore WH,CUST-10924,ORD-42304
LOG-80141,VisionX Switch,2025-05-15,In Progress,2025-03-16,2025-04-05,Pending,New York DC,CUST-10149,ORD-44564
LOG-80142,Nova Firewall,2025-04-01,In Progress,2025-05-19,2025-06-26,Returned,New York DC,CUST-10006,ORD-43600
LOG-80143,StreamLine AP,2025-06-26,Shipped,2025-07-21,2025-06-05,Returned,London DC,CUST-10862,ORD-40229
LOG-80144,SmartEdge Router,2025-02-05,In Progress,2025-07-24,2025-08-10,Returned,London DC,CUST-10555,ORD-44732
LOG-80145,VisionX Switch,2025-02-23,In Progress,2025-03-22,2025-07-08,In Transit,Singapore WH,CUST-10573,ORD-41827
LOG-80146,SmartEdge Router,2025-02-07,Confirmed,2025-07-18,2025-04-01,Delivered,Bangalore WH,CUST-10662,ORD-42597
LOG-80147,SmartEdge Router,2025-08-18,Confirmed,2025-08-23,2025-04-09,Delivered,Bangalore WH,CUST-10216,ORD-42835
LOG-80148,CloudHub Gateway,2025-05-26,Shipped,2025-04-03,2025-07-13,Pending,London DC,CUST-10240,ORD-42269
LOG-80149,Nova Firewall,2025-08-06,Shipped,2025-06-20,2025-03-29,Returned,New York DC,CUST-10537,ORD-40980
LOG-80150,StreamLine AP,2025-02-13,Delivered,2025-06-23,2025-07-21,In Transit,Bangalore WH,CUST-10854,ORD-41469
LOG-80151,CloudHub Gateway,2025-03-31,Confirmed,2025-06-21,2025-02-03,Pending,Singapore WH,CUST-10562,ORD-43415
LOG-80152,StreamLine AP,2025-08-27,Cancelled,2025-05-06,2025-04-25,Delivered,Singapore WH,CUST-10756,ORD-44233
LOG-80153,StreamLine AP,2025-03-05,Confirmed,2025-08-24,2025-08-05,Pending,Singapore WH,CUST-10269,ORD-42549
LOG-80154,StreamLine AP,2025-04-08,Shipped,2025-01-30,2025-03-27,Pending,Berlin Hub,CUST-10281,ORD-44656
LOG-80155,VisionX Switch,2025-07-29,Delivered,2025-04-16,2025-05-15,Out for Delivery,New York DC,CUST-10747,ORD-44840
LOG-80156,Nova Firewall,2025-02-15,Cancelled,2025-07-13,2025-05-10,In Transit,Bangalore WH,CUST-10178,ORD-41882
LOG-80157,VisionX Switch,2025-03-10,Cancelled,2025-03-31,2025-08-26,Returned,London DC,CUST-10940,ORD-43627
LOG-80158,SmartEdge Router,2025-08-18,Cancelled,2025-08-21,2025-03-12,Pending,Berlin Hub,CUST-10717,ORD-44994
LOG-80159,VisionX Switch,2025-06-23,Shipped,2025-06-21,2025-07-18,Returned,Singapore WH,CUST-10089,ORD-41687
LOG-80160,CloudHub Gateway,2025-08-27,Delivered,2025-02-06,2025-01-18,In Transit,New York DC,CUST-10299,ORD-44731
LOG-80161,VisionX Switch,2025-06-09,In Progress,2025-01-22,2025-07-04,In Transit,New York DC,CUST-10519,ORD-44185
LOG-80162,Nova Firewall,2025-04-18,Cancelled,2025-04-05,2025-06-05,Out for Delivery,New York DC,CUST-10359,ORD-40654
LOG-80163,Nova Firewall,2025-06-25,Shipped,2025-01-08,2025-07-16,Returned,New York DC,CUST-10225,ORD-44555
LOG-80164,StreamLine AP,2025-05-05,Confirmed,2025-08-21,2025-04-13,Pending,Singapore WH,CUST-10799,ORD-40715
LOG-80165,VisionX Switch,2025-06-11,Shipped,2025-06-22,2025-02-07,Returned,London DC,CUST-10281,ORD-41071
LOG-80166,Nova Firewall,2025-01-16,In Progress,2025-05-22,2025-05-05,Delivered,New York DC,CUST-10213,ORD-40447
LOG-80167,CloudHub Gateway,2025-05-04,Cancelled,2025-08-12,2025-06-14,Out for Delivery,London DC,CUST-10458,ORD-43919
LOG-80168,VisionX Switch,2025-03-26,In Progress,2025-03-01,2025-03-31,Delivered,Singapore WH,CUST-10751,ORD-43448
LOG-80169,CloudHub Gateway,2025-07-09,Delivered,2025-07-09,2025-03-10,Pending,New York DC,CUST-10879,ORD-41159
LOG-80170,VisionX Switch,2025-08-23,In Progress,2025-02-24,2025-01-07,Delivered,London DC,CUST-10029,ORD-44240
LOG-80171,Nova Firewall,2025-07-22,Confirmed,2025-02-18,2025-01-14,Returned,Berlin Hub,CUST-10393,ORD-43937
LOG-80172,Nova Firewall,2025-06-08,Confirmed,2025-07-09,2025-01-14,Out for Delivery,New York DC,CUST-10704,ORD-40412
LOG-80173,SmartEdge Router,2025-08-20,Shipped,2025-05-16,2025-04-12,Out for Delivery,Berlin Hub,CUST-10047,ORD-41306
LOG-80174,CloudHub Gateway,2025-08-17,Cancelled,2025-07-27,2025-08-11,Out for Delivery,Singapore WH,CUST-10098,ORD-43302
LOG-80175,CloudHub Gateway,2025-01-13,Shipped,2025-07-15,2025-01-10,Out for Delivery,London DC,CUST-10580,ORD-44357
LOG-80176,StreamLine AP,2025-08-30,Delivered,2025-01-13,2025-02-16,Out for Delivery,New York DC,CUST-10304,ORD-42323
LOG-80177,Nova Firewall,2025-03-20,Confirmed,2025-07-27,2025-03-31,Pending,Bangalore WH,CUST-10947,ORD-40152
LOG-80178,CloudHub Gateway,2025-04-28,Cancelled,2025-03-07,2025-05-02,Out for Delivery,Berlin Hub,CUST-10510,ORD-42596
LOG-80179,Nova Firewall,2025-05-27,Cancelled,2025-01-20,2025-05-19,Returned,Singapore WH,CUST-10243,ORD-41266
LOG-80180,SmartEdge Router,2025-08-21,Shipped,2025-06-10,2025-06-04,In Transit,London DC,CUST-10928,ORD-44879
LOG-80181,VisionX Switch,2025-04-01,Confirmed,2025-04-15,2025-08-14,In Transit,Berlin Hub,CUST-10238,ORD-42013
LOG-80182,CloudHub Gateway,2025-02-28,Delivered,2025-08-03,2025-07-05,Pending,Singapore WH,CUST-10724,ORD-41327
LOG-80183,StreamLine AP,2025-04-22,Confirmed,2025-05-19,2025-03-15,Pending,Bangalore WH,CUST-10372,ORD-43112
LOG-80184,StreamLine AP,2025-03-10,Delivered,2025-01-06,2025-03-18,Returned,London DC,CUST-10749,ORD-40508
LOG-80185,VisionX Switch,2025-03-13,In Progress,2025-05-04,2025-05-07,Delivered,New York DC,CUST-10503,ORD-44710
LOG-80186,CloudHub Gateway,2025-03-25,Cancelled,2025-04-13,2025-02-10,Pending,Singapore WH,CUST-10421,ORD-43288
LOG-80187,VisionX Switch,2025-07-14,Shipped,2025-05-14,2025-04-21,Out for Delivery,Berlin Hub,CUST-10121,ORD-41890
LOG-80188,SmartEdge Router,2025-07-21,Delivered,2025-03-07,2025-04-25,Delivered,New York DC,CUST-10303,ORD-43536
LOG-80189,Nova Firewall,2025-02-08,Cancelled,2025-03-21,2025-02-19,Pending,Bangalore WH,CUST-10157,ORD-43895
LOG-80190,Nova Firewall,2025-04-16,Confirmed,2025-04-10,2025-03-05,Pending,Bangalore WH,CUST-10473,ORD-44224
LOG-80191,VisionX Switch,2025-06-21,In Progress,2025-04-24,2025-04-17,Delivered,New York DC,CUST-10723,ORD-42217
LOG-80192,Nova Firewall,2025-06-21,Shipped,2025-08-04,2025-06-13,Delivered,Bangalore WH,CUST-10822,ORD-40837
LOG-80193,SmartEdge Router,2025-08-26,Shipped,2025-03-06,2025-06-15,Returned,New York DC,CUST-10287,ORD-44776
LOG-80194,SmartEdge Router,2025-08-25,Shipped,2025-07-26,2025-01-21,In Transit,New York DC,CUST-10266,ORD-40323
LOG-80195,VisionX Switch,2025-01-08,Confirmed,2025-08-29,2025-05-08,Returned,Bangalore WH,CUST-10873,ORD-41914
LOG-80196,Nova Firewall,2025-02-19,Shipped,2025-01-13,2025-06-12,Returned,New York DC,CUST-10691,ORD-40973
LOG-80197,VisionX Switch,2025-01-22,Delivered,2025-08-18,2025-05-20,Out for Delivery,London DC,CUST-10675,ORD-44244
LOG-80198,CloudHub Gateway,2025-03-09,In Progress,2025-05-20,2025-01-08,Out for Delivery,London DC,CUST-10117,ORD-43065
LOG-80199,StreamLine AP,2025-02-16,In Progress,2025-08-30,2025-07-22,Pending,Berlin Hub,CUST-10042,ORD-43340
LOG-80200,SmartEdge Router,2025-04-05,In Progress,2025-02-02,2025-08-10,Returned,New York DC,CUST-10712,ORD-41373
LOG-80201,StreamLine AP,2025-04-06,In Progress,2025-02-14,2025-04-13,Out for Delivery,Singapore WH,CUST-10166,ORD-40144
LOG-80202,SmartEdge Router,2025-03-07,In Progress,2025-08-14,2025-05-26,Returned,Bangalore WH,CUST-10467,ORD-44666
LOG-80203,StreamLine AP,2025-06-14,Cancelled,2025-05-30,2025-07-22,Delivered,Bangalore WH,CUST-10417,ORD-40622
LOG-80204,SmartEdge Router,2025-03-19,Cancelled,2025-07-11,2025-08-09,In Transit,Singapore WH,CUST-10252,ORD-40893
LOG-80205,Nova Firewall,2025-07-05,Confirmed,2025-06-16,2025-08-09,Pending,Bangalore WH,CUST-10230,ORD-43762
