Order ID,Customer Name,Order Date,Order Status,Order Value ($),Order Qty,Product Name,Product Desc,Product Family,Ship to Country,Bill to Country,Party ID,Product ID
ORD-40334,Cox-Taylor,2025-07-27,In Progress,24634,27,DataSphere,AI-powered analytics core,AI Solutions,Singapore,Brazil,CUST-10463,PROD-11182
ORD-44685,"Rogers, Figueroa and Patton",2024-11-29,Returned,4475,38,Insight360,48-port managed switch,AI Solutions,UK,Brazil,CUST-10409,PROD-11363
ORD-40487,Sanders-Howard,2025-03-04,Returned,3558,37,Insight360,High-speed enterprise router,Analytics,Brazil,USA,CUST-10639,PROD-11954
ORD-41963,Jackson-Sherman,2025-05-26,Cancelled,10469,46,DataSphere,High-speed enterprise router,Wireless,India,Brazil,CUST-10786,PROD-11400
ORD-40394,"Moore, Hansen and Lewis",2025-03-05,Returned,14634,41,CloudEdge,Wi‑Fi 6 access point,Storage,UAE,UK,CUST-10667,PROD-11254
ORD-44843,Larsen and Sons,2025-04-12,Shipped,9790,28,NetConnect,AI-powered analytics core,Wireless,UK,UAE,CUST-10910,PROD-11774
ORD-44867,Moore and Sons,2024-09-05,Shipped,16218,19,Insight360,Hybrid cloud gateway,AI Solutions,USA,Singapore,CUST-10372,PROD-11074
ORD-41756,"Wilson, Ramirez and Lester",2024-09-23,Cancelled,24104,19,DataSphere,AI-powered analytics core,Analytics,USA,USA,CUST-10983,PROD-11128
ORD-42516,Griffith Ltd,2025-01-11,Delivered,8717,46,DataSphere,High-speed enterprise router,Wireless,UAE,USA,CUST-10660,PROD-11924
ORD-43586,"Wilson, Ramirez and Lester",2025-02-01,In Progress,12089,33,NetConnect,High-speed enterprise router,Cloud Infra,UAE,USA,CUST-10001,PROD-11621
ORD-44316,Smith Inc,2025-01-03,Shipped,10283,49,Insight360,High-speed enterprise router,Storage,UAE,Singapore,CUST-10095,PROD-11450
ORD-44967,"Lopez, Snyder and Kaufman",2025-08-04,Shipped,14044,6,NetConnect,Hybrid cloud gateway,Storage,Brazil,Brazil,CUST-10267,PROD-11420
ORD-42100,Greene Group,2025-03-26,Cancelled,13715,40,NetConnect,Hybrid cloud gateway,Analytics,UK,Brazil,CUST-10226,PROD-11021
ORD-43600,"Kelley, Snow and Elliott",2024-12-18,Cancelled,19945,44,CloudEdge,Wi‑Fi 6 access point,Wireless,UK,UAE,CUST-10726,PROD-11887
ORD-44122,"Lynch, Lynch and Mitchell",2024-09-12,Shipped,3435,11,CloudEdge,48-port managed switch,Networking,India,Germany,CUST-10750,PROD-11979
ORD-40030,Benitez and Sons,2025-05-13,Shipped,5551,45,CloudEdge,AI-powered analytics core,Networking,UK,Brazil,CUST-10876,PROD-11422
ORD-40066,Rogers-Cervantes,2025-04-12,In Progress,14032,47,CoreAnalytics,High-speed enterprise router,Storage,UK,India,CUST-10058,PROD-11137
ORD-40839,Davis Ltd,2025-06-07,Shipped,7897,19,NetConnect,48-port managed switch,Storage,Australia,Australia,CUST-10493,PROD-11173
ORD-43907,"Freeman, Jones and Hall",2024-12-26,Returned,5545,48,CloudEdge,Wi‑Fi 6 access point,Cloud Infra,India,India,CUST-10545,PROD-11211
ORD-43774,"Martin, Stevenson and Meadows",2024-11-29,Returned,8894,40,DataSphere,48-port managed switch,Cloud Infra,UAE,UK,CUST-10127,PROD-11266
ORD-44636,Buchanan and Sons,2025-06-02,In Progress,6751,12,DataSphere,Wi‑Fi 6 access point,Networking,UK,USA,CUST-10938,PROD-11382
ORD-43162,"Hall, Davis and Butler",2025-02-27,Cancelled,6576,27,Insight360,Next-gen firewall,Wireless,USA,India,CUST-10323,PROD-11147
ORD-42660,"Lopez, Bowen and Brown",2024-11-02,Shipped,21714,32,DataSphere,48-port managed switch,Cloud Infra,Singapore,India,CUST-10207,PROD-11251
ORD-44616,Reed-Scott,2025-01-21,Delivered,24054,38,NetConnect,Wi‑Fi 6 access point,AI Solutions,India,USA,CUST-10149,PROD-11444
ORD-44629,Simmons Ltd,2025-04-09,Returned,15440,4,CloudEdge,48-port managed switch,Security,USA,Brazil,CUST-10731,PROD-11365
ORD-42452,Chen-Stanton,2024-12-30,Delivered,10138,20,Insight360,Hybrid cloud gateway,Cloud Infra,UAE,UAE,CUST-10063,PROD-11838
ORD-42847,Jones-Mays,2025-07-22,Delivered,12863,20,CoreAnalytics,High-speed enterprise router,Analytics,USA,UAE,CUST-10561,PROD-11019
ORD-41145,Rodriguez Group,2025-04-30,Delivered,18300,44,Insight360,AI-powered analytics core,Networking,Germany,Australia,CUST-10958,PROD-11460
ORD-43079,Smith and Sons,2024-12-10,Delivered,3139,20,CloudEdge,AI-powered analytics core,Security,UAE,Germany,CUST-10836,PROD-11750
ORD-41104,Barker-Fuentes,2025-02-26,Delivered,20498,50,CoreAnalytics,AI-powered analytics core,Wireless,UAE,USA,CUST-10260,PROD-11685
ORD-40169,"Rice, Phillips and Smith",2025-05-27,Shipped,6303,11,CloudEdge,Next-gen firewall,Storage,Brazil,India,CUST-10625,PROD-11404
ORD-41671,Delacruz and Sons,2025-05-31,Returned,12644,47,CoreAnalytics,Next-gen firewall,Analytics,India,Singapore,CUST-10400,PROD-11510
ORD-42571,Barrera-Moody,2025-07-25,Cancelled,17605,40,CloudEdge,Wi‑Fi 6 access point,Analytics,Germany,UK,CUST-10224,PROD-11352
ORD-42378,"Lopez, Bates and Phillips",2025-04-20,Delivered,10686,22,Insight360,Next-gen firewall,Cloud Infra,Germany,USA,CUST-10382,PROD-11792
ORD-44396,Padilla-Wang,2025-03-14,Cancelled,5145,31,Insight360,48-port managed switch,AI Solutions,India,Brazil,CUST-10908,PROD-11056
ORD-44258,Chavez-Lopez,2025-07-05,In Progress,21321,36,NetConnect,High-speed enterprise router,Wireless,UAE,Germany,CUST-10248,PROD-11824
ORD-43863,Morales Inc,2025-06-21,Delivered,2733,28,NetConnect,Wi‑Fi 6 access point,AI Solutions,Singapore,Australia,CUST-10736,PROD-11092
ORD-40024,Barnes PLC,2024-11-04,Shipped,10966,13,CoreAnalytics,Wi‑Fi 6 access point,Networking,India,Brazil,CUST-10824,PROD-11393
ORD-42634,"Williams, Pierce and Burke",2025-08-30,Cancelled,5631,35,CoreAnalytics,High-speed enterprise router,Storage,Singapore,Germany,CUST-10763,PROD-11402
ORD-43341,Jimenez-Gaines,2024-10-23,Delivered,16673,31,Insight360,Hybrid cloud gateway,Networking,UAE,UK,CUST-10494,PROD-11902
ORD-42216,Wilcox LLC,2025-01-18,Delivered,20425,9,Insight360,48-port managed switch,Analytics,UK,Germany,CUST-10671,PROD-11004
ORD-43683,"Lopez, Cunningham and Wells",2025-06-29,Returned,8898,42,CloudEdge,AI-powered analytics core,AI Solutions,Singapore,UK,CUST-10798,PROD-11656
ORD-44725,"Grant, Johnson and Jordan",2025-07-05,Cancelled,7300,3,DataSphere,48-port managed switch,Security,Germany,UK,CUST-10067,PROD-11015
ORD-41908,Rogers-Pugh,2025-03-17,Delivered,14148,38,CloudEdge,High-speed enterprise router,Analytics,UAE,Australia,CUST-10473,PROD-11920
ORD-40085,"Jackson, Krueger and Lee",2024-09-30,Returned,18648,31,CoreAnalytics,48-port managed switch,AI Solutions,UK,UAE,CUST-10346,PROD-11113
ORD-40228,Gomez-Wallace,2024-10-02,Shipped,19133,17,NetConnect,Wi‑Fi 6 access point,Storage,Germany,USA,CUST-10762,PROD-11662
ORD-40297,Watkins Ltd,2025-02-11,Cancelled,4710,23,NetConnect,High-speed enterprise router,Security,UK,India,CUST-10516,PROD-11033
ORD-41002,Garcia-Anderson,2024-11-18,Returned,18666,3,CoreAnalytics,48-port managed switch,Analytics,UK,Brazil,CUST-10315,PROD-11024
ORD-42139,"Gonzales, Allen and Carpenter",2024-11-04,In Progress,12493,48,CoreAnalytics,Hybrid cloud gateway,Cloud Infra,USA,India,CUST-10006,PROD-11113
ORD-40712,"Murphy, Sanchez and Perez",2024-10-26,In Progress,15384,2,Insight360,AI-powered analytics core,Storage,Brazil,UK,CUST-10254,PROD-11668
ORD-42802,Black Ltd,2025-01-12,Shipped,8873,22,Insight360,AI-powered analytics core,Networking,Australia,USA,CUST-10548,PROD-11913
ORD-42528,Davis Group,2025-04-26,Cancelled,5189,23,Insight360,AI-powered analytics core,Cloud Infra,India,UK,CUST-10740,PROD-11241
ORD-43753,Trujillo-Daniel,2024-09-02,In Progress,10178,35,CloudEdge,Next-gen firewall,Analytics,USA,Germany,CUST-10342,PROD-11201
ORD-43322,"Jackson, Krueger and Lee",2025-02-23,Delivered,18855,28,CloudEdge,48-port managed switch,Analytics,UK,USA,CUST-10942,PROD-11545
ORD-43182,Smith PLC,2024-12-08,Cancelled,3489,47,NetConnect,48-port managed switch,Storage,Germany,India,CUST-10624,PROD-11766
ORD-44184,Brown-Carroll,2024-12-31,Delivered,21427,22,CloudEdge,Next-gen firewall,Wireless,UAE,Brazil,CUST-10985,PROD-11892
ORD-41616,Riley-Berry,2025-01-19,In Progress,14279,25,Insight360,High-speed enterprise router,Analytics,Germany,UK,CUST-10268,PROD-11954
ORD-43025,Fisher PLC,2024-11-15,Delivered,23094,12,DataSphere,Next-gen firewall,Storage,Singapore,Australia,CUST-10759,PROD-11124
ORD-41414,"Meyers, King and Munoz",2024-11-03,Shipped,7938,1,Insight360,Next-gen firewall,Cloud Infra,Singapore,USA,CUST-10170,PROD-11506
ORD-40764,Kidd Ltd,2025-03-12,Shipped,11869,32,CloudEdge,Wi‑Fi 6 access point,Cloud Infra,UK,UK,CUST-10699,PROD-11930
ORD-40656,Perez-Campbell,2025-06-17,Cancelled,10938,46,DataSphere,AI-powered analytics core,Storage,USA,Singapore,CUST-10931,PROD-11034
ORD-44798,Perkins-Turner,2024-09-11,Shipped,2622,43,CoreAnalytics,Wi‑Fi 6 access point,Analytics,Germany,USA,CUST-10607,PROD-11768
ORD-43850,Schneider and Sons,2025-02-24,In Progress,14759,10,CloudEdge,48-port managed switch,Wireless,Brazil,Brazil,CUST-10927,PROD-11175
ORD-44154,"Murphy, Thompson and Reese",2024-10-10,Delivered,6535,11,CloudEdge,AI-powered analytics core,Cloud Infra,UAE,USA,CUST-10295,PROD-11323
ORD-40469,Glover Group,2024-09-30,Delivered,16319,32,DataSphere,48-port managed switch,Cloud Infra,Germany,Singapore,CUST-10038,PROD-11110
ORD-40158,Griffith Ltd,2025-01-22,Delivered,8854,13,NetConnect,AI-powered analytics core,Storage,Australia,India,CUST-10678,PROD-11693
ORD-41296,Williamson Group,2025-03-22,Returned,9409,1,CoreAnalytics,AI-powered analytics core,Networking,UAE,India,CUST-10671,PROD-11620
ORD-40498,Brennan-Hill,2025-05-24,Cancelled,13474,20,NetConnect,Hybrid cloud gateway,AI Solutions,Brazil,UAE,CUST-10510,PROD-11963
ORD-44741,"Lewis, Cross and Huber",2024-11-04,In Progress,13038,31,NetConnect,Wi‑Fi 6 access point,Security,Australia,Australia,CUST-10831,PROD-11426
ORD-42941,"Ashley, Garrett and Morrison",2025-01-28,Cancelled,1760,1,NetConnect,48-port managed switch,Storage,India,USA,CUST-10782,PROD-11420
ORD-43457,"Nelson, Walker and Reyes",2025-06-16,Shipped,17740,24,NetConnect,Next-gen firewall,AI Solutions,Germany,UAE,CUST-10408,PROD-11308
ORD-40374,Gross Ltd,2025-08-10,Delivered,8908,40,CloudEdge,Wi‑Fi 6 access point,Networking,UK,UK,CUST-10312,PROD-11063
ORD-40080,"Gonzalez, Matthews and Hunter",2025-03-04,Delivered,23569,7,CoreAnalytics,AI-powered analytics core,Security,India,Australia,CUST-10147,PROD-11834
ORD-41554,Osborn-Sharp,2025-08-09,Cancelled,3417,7,CloudEdge,AI-powered analytics core,Wireless,India,Germany,CUST-10059,PROD-11494
ORD-41670,"Klein, Rodriguez and Chapman",2025-07-30,Shipped,13896,22,CloudEdge,Wi‑Fi 6 access point,Cloud Infra,Singapore,Singapore,CUST-10069,PROD-11677
ORD-42132,"Esparza, Peterson and Campbell",2024-10-02,In Progress,15577,18,DataSphere,High-speed enterprise router,Analytics,Singapore,Brazil,CUST-10524,PROD-11069
ORD-44440,Leon and Sons,2025-05-01,Cancelled,17955,28,CoreAnalytics,Hybrid cloud gateway,Storage,Germany,Australia,CUST-10412,PROD-11971
ORD-40466,Gomez-Wallace,2025-04-15,Delivered,23079,12,NetConnect,Wi‑Fi 6 access point,Cloud Infra,Brazil,USA,CUST-10468,PROD-11997
ORD-40249,"Rosario, Reeves and Velez",2024-12-20,Shipped,11528,3,CoreAnalytics,Next-gen firewall,Security,UK,UK,CUST-10183,PROD-11674
ORD-40932,"Baker, Ross and Singh",2025-08-09,Delivered,18861,33,NetConnect,AI-powered analytics core,Cloud Infra,USA,Brazil,CUST-10328,PROD-11114
ORD-41336,Gomez-Ellis,2025-02-01,Delivered,12245,47,CoreAnalytics,AI-powered analytics core,Wireless,UK,UK,CUST-10178,PROD-11122
ORD-44525,Lewis-Patel,2024-12-03,Returned,3718,30,NetConnect,Wi‑Fi 6 access point,Storage,India,Australia,CUST-10243,PROD-11724
ORD-41339,Brooks LLC,2025-01-13,Cancelled,1393,17,CloudEdge,48-port managed switch,Networking,UAE,India,CUST-10857,PROD-11209
ORD-41407,Carter Inc,2025-03-27,Shipped,11716,49,CloudEdge,Next-gen firewall,Storage,Brazil,UAE,CUST-10458,PROD-11888
ORD-41091,Mccoy Inc,2025-02-14,Returned,2437,6,Insight360,48-port managed switch,Analytics,Australia,Germany,CUST-10465,PROD-11564
ORD-44210,Anderson-Lowe,2025-06-10,Cancelled,5994,4,NetConnect,AI-powered analytics core,Analytics,Singapore,UK,CUST-10914,PROD-11295
ORD-40743,"Campbell, Bennett and Carrillo",2024-12-28,Cancelled,13340,48,CloudEdge,High-speed enterprise router,Networking,India,UK,CUST-10236,PROD-11918
ORD-42324,Hood Inc,2024-09-10,Delivered,19276,6,CloudEdge,48-port managed switch,AI Solutions,Brazil,Germany,CUST-10277,PROD-11345
ORD-43602,Miller Ltd,2025-02-02,Delivered,11424,9,NetConnect,Wi‑Fi 6 access point,Networking,Brazil,UK,CUST-10331,PROD-11001
ORD-42124,Harvey PLC,2025-06-10,Delivered,1302,32,CoreAnalytics,Next-gen firewall,Wireless,India,Australia,CUST-10827,PROD-11908
ORD-42095,Simmons Ltd,2025-08-11,Cancelled,14203,13,Insight360,48-port managed switch,AI Solutions,Brazil,Brazil,CUST-10383,PROD-11790
ORD-40241,"Herrera, Morton and Bell",2025-05-08,In Progress,18493,33,NetConnect,High-speed enterprise router,Security,Singapore,Brazil,CUST-10867,PROD-11043
ORD-42352,Moore and Sons,2025-05-13,In Progress,20560,5,NetConnect,Next-gen firewall,Networking,USA,Singapore,CUST-10844,PROD-11693
ORD-41371,Hansen-Gordon,2024-11-12,Returned,4476,7,CoreAnalytics,AI-powered analytics core,Wireless,Singapore,UK,CUST-10993,PROD-11395
ORD-41058,Walker-Mcdonald,2025-02-23,Returned,24409,16,CloudEdge,Hybrid cloud gateway,Networking,Germany,Germany,CUST-10097,PROD-11252
ORD-44817,Flores-Townsend,2024-12-04,Returned,23621,28,DataSphere,Hybrid cloud gateway,Analytics,UK,Singapore,CUST-10621,PROD-11939
ORD-40200,Mcdaniel-Moore,2024-10-01,Shipped,11944,32,NetConnect,Wi‑Fi 6 access point,Networking,UK,UAE,CUST-10532,PROD-11415
ORD-42281,Brown-Carroll,2025-04-17,Delivered,11289,28,CoreAnalytics,Wi‑Fi 6 access point,Analytics,Australia,Australia,CUST-10751,PROD-11368
ORD-44750,"Adams, Osborne and Hall",2025-07-04,Shipped,5536,22,Insight360,48-port managed switch,Networking,Brazil,Singapore,CUST-10753,PROD-11152
ORD-42221,Murray LLC,2024-09-12,In Progress,13541,41,CoreAnalytics,AI-powered analytics core,Networking,Australia,UK,CUST-10484,PROD-11157
ORD-44772,Johnson and Sons,2025-04-25,Cancelled,17818,6,CoreAnalytics,AI-powered analytics core,Security,Germany,UK,CUST-10838,PROD-11808
ORD-42820,Johnson-Chang,2024-11-06,Returned,10648,4,CloudEdge,Next-gen firewall,AI Solutions,UAE,Germany,CUST-10430,PROD-11429
ORD-43151,Ray Inc,2025-01-19,Delivered,8397,17,Insight360,Next-gen firewall,Wireless,Brazil,India,CUST-10821,PROD-11511
ORD-44257,Anderson Inc,2025-04-27,Cancelled,15988,18,DataSphere,48-port managed switch,Wireless,India,UK,CUST-10049,PROD-11952
ORD-43108,Roberts-Chase,2025-01-01,In Progress,23784,14,CloudEdge,Wi‑Fi 6 access point,Security,UAE,USA,CUST-10823,PROD-11387
ORD-41974,Robbins-Cole,2025-06-02,Delivered,20347,17,NetConnect,Wi‑Fi 6 access point,Analytics,Singapore,Singapore,CUST-10535,PROD-11173
ORD-41376,Hubbard Group,2025-02-12,Shipped,20869,49,NetConnect,48-port managed switch,AI Solutions,Australia,Australia,CUST-10605,PROD-11899
ORD-43969,"Reeves, Harris and White",2025-06-08,Returned,24851,22,Insight360,Next-gen firewall,Analytics,India,UK,CUST-10245,PROD-11073
ORD-44063,Jordan-Hamilton,2025-07-26,Delivered,14155,16,NetConnect,48-port managed switch,Networking,Australia,Singapore,CUST-10980,PROD-11975
ORD-44446,Mason-Curry,2025-08-19,Returned,20234,38,DataSphere,48-port managed switch,Cloud Infra,Singapore,UAE,CUST-10736,PROD-11556
ORD-43558,Myers LLC,2024-09-09,Returned,23948,42,Insight360,AI-powered analytics core,Networking,Brazil,UAE,CUST-10418,PROD-11743
ORD-40965,Ramos Inc,2025-07-07,Cancelled,3281,46,CoreAnalytics,Next-gen firewall,Networking,UAE,UK,CUST-10427,PROD-11806
ORD-40180,Smith Group,2025-03-24,In Progress,18010,21,CloudEdge,Next-gen firewall,Networking,Singapore,Brazil,CUST-10233,PROD-11325
ORD-43699,Baker-Johnson,2024-09-18,Shipped,10220,33,CloudEdge,High-speed enterprise router,Analytics,UK,Singapore,CUST-10452,PROD-11095
ORD-43822,Santos Group,2025-04-08,Returned,12961,13,DataSphere,Next-gen firewall,Security,Singapore,UK,CUST-10335,PROD-11343
ORD-44879,"Andrews, Roberts and King",2025-01-08,Cancelled,2525,21,CloudEdge,Next-gen firewall,Cloud Infra,UK,UAE,CUST-10432,PROD-11679
ORD-43900,Murray-Johnson,2025-08-10,Cancelled,6919,48,CoreAnalytics,48-port managed switch,Storage,Singapore,Singapore,CUST-10510,PROD-11350
ORD-44488,Romero Ltd,2025-07-14,Shipped,18502,7,NetConnect,48-port managed switch,Cloud Infra,UAE,India,CUST-10207,PROD-11179
ORD-43239,Reid-Bowman,2025-06-10,In Progress,11320,23,CoreAnalytics,Hybrid cloud gateway,Analytics,Germany,Australia,CUST-10410,PROD-11416
ORD-42975,"Garcia, Marshall and Gibson",2025-07-05,Returned,20155,42,DataSphere,Hybrid cloud gateway,Wireless,Australia,Brazil,CUST-10186,PROD-11251
ORD-43581,Goodwin-Fowler,2025-03-09,Returned,7529,23,DataSphere,High-speed enterprise router,Wireless,UK,India,CUST-10265,PROD-11924
ORD-42888,"Freeman, Jones and Hall",2024-09-03,Delivered,11465,4,DataSphere,Next-gen firewall,Cloud Infra,Germany,UAE,CUST-10506,PROD-11976
ORD-42576,"Wilkins, Odom and Harvey",2024-09-22,Delivered,20079,44,CloudEdge,High-speed enterprise router,Analytics,USA,Australia,CUST-10792,PROD-11094
ORD-41420,Hodge Ltd,2024-11-04,Shipped,17471,38,Insight360,High-speed enterprise router,Cloud Infra,Brazil,UK,CUST-10969,PROD-11430
ORD-43908,"Flores, Wallace and Garza",2024-11-24,Cancelled,24922,32,DataSphere,High-speed enterprise router,Security,India,UAE,CUST-10502,PROD-11611
ORD-44674,"Ryan, Murphy and Williamson",2024-09-19,Cancelled,4908,19,NetConnect,Hybrid cloud gateway,Wireless,USA,Germany,CUST-10946,PROD-11693
ORD-44903,Wilson-Maxwell,2025-08-24,Delivered,12279,47,DataSphere,48-port managed switch,Analytics,USA,Germany,CUST-10574,PROD-11392
ORD-41861,Kennedy-Campbell,2025-02-01,In Progress,23784,41,CloudEdge,High-speed enterprise router,Analytics,UK,India,CUST-10820,PROD-11421
ORD-40009,Nguyen PLC,2024-10-31,In Progress,4836,40,DataSphere,48-port managed switch,AI Solutions,USA,UAE,CUST-10846,PROD-11560
ORD-42895,"Henderson, Johnson and Johnson",2025-08-16,Cancelled,12753,19,CloudEdge,Wi‑Fi 6 access point,Analytics,UAE,UAE,CUST-10935,PROD-11003
ORD-42848,Lewis-Lopez,2024-10-03,Shipped,4197,22,NetConnect,AI-powered analytics core,Analytics,UAE,Australia,CUST-10419,PROD-11477
ORD-43665,Brennan Group,2025-09-01,Returned,3305,47,NetConnect,High-speed enterprise router,Wireless,Singapore,Germany,CUST-10907,PROD-11547
ORD-40145,"Woods, Kelly and Richardson",2024-10-25,Delivered,24594,35,CloudEdge,Hybrid cloud gateway,AI Solutions,Singapore,Brazil,CUST-10020,PROD-11958
ORD-42105,Taylor Group,2024-12-12,Delivered,22901,39,Insight360,Next-gen firewall,Security,Brazil,UAE,CUST-10164,PROD-11601
ORD-43144,Sutton and Sons,2025-06-27,Delivered,18908,23,CoreAnalytics,AI-powered analytics core,Storage,USA,UK,CUST-10301,PROD-11971
ORD-40842,White-Palmer,2025-08-15,Delivered,8303,44,CoreAnalytics,Hybrid cloud gateway,Wireless,UAE,India,CUST-10556,PROD-11889
ORD-41129,"Ward, Woods and Rasmussen",2025-02-16,In Progress,12773,45,NetConnect,48-port managed switch,Analytics,Singapore,UK,CUST-10419,PROD-11859
ORD-40152,Fox Group,2025-08-02,Cancelled,5898,44,DataSphere,48-port managed switch,Networking,Germany,India,CUST-10008,PROD-11660
ORD-43592,"Wilson, Mcclure and Wright",2024-10-09,Shipped,11489,20,CloudEdge,Wi‑Fi 6 access point,Security,Australia,Singapore,CUST-10427,PROD-11169
ORD-41053,Schultz-Vargas,2024-12-20,In Progress,12306,47,CoreAnalytics,AI-powered analytics core,Analytics,USA,Singapore,CUST-10866,PROD-11167
ORD-41591,Watkins LLC,2024-11-06,Cancelled,16978,11,CloudEdge,48-port managed switch,Storage,USA,UK,CUST-10482,PROD-11909
ORD-43009,Garcia-Anderson,2025-08-03,Cancelled,12388,28,Insight360,High-speed enterprise router,Wireless,Germany,USA,CUST-10665,PROD-11375
ORD-42030,"Mueller, Swanson and Rogers",2024-10-11,Shipped,6628,30,NetConnect,Wi‑Fi 6 access point,Networking,India,Australia,CUST-10773,PROD-11772
ORD-43419,"Hobbs, Carlson and Hughes",2025-01-02,Returned,23661,21,Insight360,Next-gen firewall,Wireless,Singapore,UK,CUST-10285,PROD-11588
ORD-41808,Clark Group,2025-07-04,Shipped,23000,17,DataSphere,AI-powered analytics core,Security,India,UK,CUST-10040,PROD-11561
ORD-42697,Choi Ltd,2025-01-22,Delivered,2338,16,NetConnect,Hybrid cloud gateway,Analytics,Brazil,USA,CUST-10974,PROD-11265
ORD-43040,Griffin-Neal,2025-07-05,Cancelled,8243,45,NetConnect,Hybrid cloud gateway,Networking,UAE,Germany,CUST-10433,PROD-11814
ORD-40473,Rogers LLC,2025-05-11,Delivered,13917,46,DataSphere,High-speed enterprise router,AI Solutions,USA,India,CUST-10644,PROD-11178
ORD-43290,Jackson-Fowler,2025-04-23,Cancelled,11940,27,CloudEdge,48-port managed switch,Security,USA,Germany,CUST-10577,PROD-11807
ORD-44075,Flores-Townsend,2025-06-16,Delivered,7584,13,CloudEdge,Hybrid cloud gateway,Storage,Brazil,India,CUST-10001,PROD-11203
